TIMESTAMP,AGURI_OPEN_PRICE_USD,AGURI_HIGH_PRICE_USD,AGURI_LOW_PRICE_USD,AGURI_CLOSE_PRICE_USD,AGURI_VOLUME_USD,AGURI_DIVIDENDS_USD,AGURI_STOCK_SPLITS_USD
2024-09-24 00:00:00+00:00,3.000000106112566e-06,1.2000000424450263e-05,3.000000106112566e-06,7.999999979801942e-06,1654705,0.0,0.0
2024-09-25 00:00:00+00:00,7.999999979801942e-06,1.4999999621068127e-05,7.000000096013537e-06,1.1000000085914508e-05,2092703,0.0,0.0
2024-09-26 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,7.000000096013537e-06,7.999999979801942e-06,856511,0.0,0.0
2024-09-27 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,654354,0.0,0.0
2024-09-28 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,367539,0.0,0.0
2024-09-29 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,337125,0.0,0.0
2024-09-30 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,195682,0.0,0.0
2024-10-01 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,281979,0.0,0.0
2024-10-02 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,195576,0.0,0.0
2024-10-03 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,79923,0.0,0.0
2024-10-04 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,170408,0.0,0.0
2024-10-05 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,90877,0.0,0.0
2024-10-06 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,171818,0.0,0.0
2024-10-07 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,334340,0.0,0.0
2024-10-08 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.000000106112566e-06,6.000000212225132e-06,467941,0.0,0.0
2024-10-09 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,244026,0.0,0.0
2024-10-10 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,206389,0.0,0.0
2024-10-11 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,105054,0.0,0.0
2024-10-12 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,176898,0.0,0.0
2024-10-13 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,184441,0.0,0.0
2024-10-14 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,140011,0.0,0.0
2024-10-15 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,263919,0.0,0.0
2024-10-16 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,108511,0.0,0.0
2024-10-17 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,123544,0.0,0.0
2024-10-18 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,98443,0.0,0.0
2024-10-19 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,70934,0.0,0.0
2024-10-20 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,76613,0.0,0.0
2024-10-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,76078,0.0,0.0
2024-10-22 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,67710,0.0,0.0
2024-10-23 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,58974,0.0,0.0
2024-10-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,58593,0.0,0.0
