TIMESTAMP,SONIC34924_OPEN_PRICE_USD,SONIC34924_HIGH_PRICE_USD,SONIC34924_LOW_PRICE_USD,SONIC34924_CLOSE_PRICE_USD,SONIC34924_VOLUME_USD,SONIC34924_DIVIDENDS_USD,SONIC34924_STOCK_SPLITS_USD
2025-02-22 00:00:00+00:00,,,,0.0,1898,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,8970,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,578,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,5066,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,4877,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,3492,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,6113,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,551,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,648,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,1009,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,1388,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,22730,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,185,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,122,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,68,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,273,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,130,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,440,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,3,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,205,0.0,0.0
2025-06-01 00:00:00+00:00,6.643578842613351e-08,6.647910311130545e-08,6.551645981289766e-08,6.647910311130545e-08,201,0.0,0.0
