,K,Alpha,Tau,MSE
0,6,250,0.3,0.007809625991501242
1,6,250,0.25,0.007809727959106613
2,6,250,0.2,0.00780977604712186
3,7,250,0.3,0.007809872203664661
4,15,1250,0.3,0.007809985843672532
5,7,250,0.25,0.007810064694313286
6,15,1000,0.3,0.00781018934120319
7,14,1000,0.3,0.007810199516728728
8,12,1000,0.3,0.0078102566439095375
9,7,250,0.2,0.007810406186145564
10,13,1000,0.3,0.0078104377983153886
11,15,1000,0.25,0.0078105801294011705
12,14,1000,0.25,0.007810584592249504
13,7,250,0.15,0.007810634298773903
14,13,750,0.3,0.007810833080068371
15,14,750,0.3,0.007810868616005357
16,13,1000,0.25,0.0078108948890210006
17,11,750,0.3,0.0078110333428481
18,15,1000,0.2,0.007811147148071775
19,13,1000,0.2,0.007811262440066517
20,14,1000,0.2,0.007811388922016864
21,12,750,0.25,0.007811394523670739
22,12,750,0.3,0.007811406010914187
23,11,750,0.25,0.00781141739679152
24,14,750,0.25,0.007811417607908961
25,13,750,0.25,0.007811439721562134
26,15,750,0.3,0.007812003025840463
27,12,750,0.2,0.00781239327596299
28,13,750,0.2,0.007812537841257608
29,15,1000,0.15,0.007812700527340167
30,15,750,0.25,0.007812969318021709
31,14,750,0.2,0.00781397462466659
32,15,750,0.2,0.007814613411587483
33,13,750,0.15,0.007814839312723554
34,12,750,0.15,0.007815957695878428
35,14,750,0.15,0.007816872078131554
36,15,750,0.15,0.00781801473578756
37,11,750,0.2,0.007818762252851734
38,13,750,0.1,0.007819854344973736
39,6,250,0.15,0.007821128392997624
40,9,250,0.3,0.007824773985984997
41,10,250,0.3,0.00782594650672316
42,11,250,0.3,0.007828224045456446
43,12,250,0.3,0.007829059764077127
44,9,250,0.25,0.00783158896257985
45,8,250,0.3,0.007831729598088723
46,10,250,0.25,0.007832953944195914
47,11,250,0.25,0.00783637400749613
48,14,1250,0.3,0.007837061198045388
49,12,250,0.25,0.007837666389186506
50,8,250,0.25,0.007840018778399146
51,11,500,0.15,0.007844379930014501
52,9,250,0.2,0.00784573149314436
53,10,250,0.2,0.007845760686307003
54,11,250,0.2,0.007851367876038448
55,14,1000,0.15,0.00785218845525115
56,12,250,0.2,0.007853557098601976
57,8,250,0.2,0.007854607389877555
58,15,500,0.25,0.007862470701829664
59,10,250,0.15,0.007873248407583622
60,11,500,0.2,0.007880165016491242
61,11,250,0.15,0.00788380237579466
62,8,250,0.15,0.007884902406966649
63,11,500,0.3,0.007885863602138957
64,15,500,0.2,0.007886767789151925
65,12,250,0.15,0.007888072470462333
66,11,500,0.25,0.007891069641800258
67,9,250,0.15,0.007899571244095939
68,14,500,0.3,0.007901241984620652
69,14,750,0.1,0.007903447008547579
70,10,500,0.3,0.007905114449494167
71,13,250,0.3,0.007919266708820672
72,14,500,0.25,0.00792964223736372
73,15,500,0.15,0.007938541132830738
74,10,250,0.1,0.007954508416364994
75,10,500,0.25,0.007961246175646782
76,14,250,0.3,0.007961869774119142
77,11,500,0.1,0.007969780862967537
78,13,250,0.25,0.007972701284114442
79,8,250,0.1,0.007973750948792267
80,14,500,0.2,0.00797623867722396
81,11,250,0.1,0.007976760620306875
82,12,250,0.1,0.007987482349419265
83,13,500,0.3,0.007997667371113636
84,14,250,0.25,0.008036759686679103
85,12,500,0.3,0.008040748646384044
86,13,500,0.25,0.00805113943926858
87,15,250,0.3,0.008064441821592938
88,14,500,0.15,0.008066108928242804
89,13,250,0.2,0.008076032364719973
90,10,500,0.2,0.00807961236493441
91,12,500,0.25,0.008102733605089894
92,15,500,0.1,0.008109090163297281
93,14,500,0.1,0.008121606938574505
94,13,500,0.2,0.008134889602671195
95,14,250,0.2,0.008188702699121796
96,12,500,0.2,0.008200192241582777
97,15,250,0.25,0.00820275801072347
98,13,500,0.15,0.008283895640968039
99,13,250,0.15,0.008315416337517758
100,12,500,0.15,0.00837195599866754
101,13,500,0.1,0.00837631103491141
102,9,250,0.05,0.008400443195202544
103,10,250,0.05,0.008409718451286439
104,15,250,0.2,0.008449190448628746
105,11,250,0.05,0.008467578491195192
106,12,250,0.05,0.00852004631580302
107,14,250,0.15,0.008546801967545656
108,15,500,0.3,0.008553605314434509
109,9,250,0.1,0.008712310943666954
110,12,1000,0.25,0.008774517627092455
111,12,500,0.1,0.008787684130357522
112,15,1000,0.1,0.008960073762865816
113,15,250,0.15,0.008985337854560224
114,13,250,0.1,0.009071290671380646
115,15,750,0.05,0.00910289331274385
116,7,250,0.1,0.009109457143371212
117,8,250,0.05,0.00929943570191711
118,13,750,0.05,0.009600603737901451
119,14,250,0.1,0.00972094875259106
120,15,500,0.05,0.010014358969647733
121,14,500,0.05,0.010113939387405861
122,14,1000,0.1,0.010685052671486369
123,15,250,0.1,0.01095503896129011
124,14,750,0.05,0.011007817632620915
125,13,500,0.05,0.011057879097332085
126,12,500,0.05,0.011853716111653772
127,15,1250,0.25,0.011853996599030435
128,9,500,0.3,0.013055521496292603
129,13,250,0.05,0.013651342509397662
130,15,1500,0.3,0.014171463206864462
131,14,1250,0.25,0.014213552004558075
132,10,500,0.15,0.015273308676359407
