,K,Alpha,Tau,MSE
0,6,250,0.3,0.007809666632860727
1,6,250,0.25,0.007809783765311111
2,7,250,0.3,0.00780993274066104
3,6,250,0.2,0.007809972203396311
4,7,250,0.25,0.007810150143552056
5,7,250,0.2,0.007810537833577068
6,13,1000,0.3,0.007810581755018941
7,14,1250,0.3,0.007810669262689032
8,15,1250,0.3,0.007810691521214416
9,7,250,0.15,0.0078107752118498925
10,14,1000,0.3,0.007810807147997629
11,15,1000,0.3,0.0078108338164822105
12,15,1250,0.25,0.0078110643459471125
13,14,1250,0.25,0.007811334813789929
14,14,1000,0.25,0.007811402987156651
15,15,1000,0.25,0.007811437488369815
16,11,750,0.3,0.007811813052082085
17,14,1500,0.3,0.007811914913584404
18,15,750,0.3,0.007812076321894739
19,13,750,0.3,0.007812137691497944
20,14,750,0.3,0.007812188795617001
21,15,1000,0.2,0.007812387405723585
22,14,1000,0.2,0.007812445137176353
23,15,1500,0.3,0.00781270931783139
24,11,750,0.25,0.007812722804072886
25,15,750,0.25,0.007813002258847167
26,13,750,0.25,0.007813071395302875
27,14,750,0.25,0.007813126787745546
28,6,250,0.15,0.007814089339866733
29,15,750,0.2,0.007814598588087047
30,13,750,0.2,0.007814649185822815
31,12,750,0.3,0.007814688122329593
32,14,750,0.2,0.007814743890606008
33,14,1000,0.15,0.007814794226058065
34,15,1000,0.15,0.00781504716594819
35,15,750,0.15,0.007817874981178573
36,14,750,0.15,0.007818084108037481
37,13,750,0.15,0.007825223091423803
38,9,250,0.3,0.007825692570624092
39,10,250,0.3,0.00782612963814383
40,11,750,0.2,0.00782793703842711
41,11,250,0.3,0.007828318434427934
42,12,250,0.3,0.007829086499289251
43,10,250,0.25,0.007833213638406784
44,9,250,0.25,0.007834019191184302
45,8,250,0.3,0.007835560847946165
46,11,250,0.25,0.007836491226371608
47,14,750,0.1,0.00783741417142806
48,12,250,0.25,0.00783767607027747
49,13,1000,0.25,0.007838460106191566
50,8,250,0.25,0.007845040837682605
51,15,750,0.1,0.007845235468349483
52,10,250,0.2,0.00784617297197779
53,11,250,0.2,0.007851503361200798
54,12,250,0.2,0.007853504060484904
55,9,250,0.2,0.00785638553993283
56,8,250,0.2,0.007861661465656311
57,14,1250,0.2,0.007870287093172623
58,15,1250,0.2,0.007873708486694444
59,10,250,0.15,0.00787414859331561
60,11,250,0.15,0.007883909147282112
61,12,250,0.15,0.007887790521232042
62,8,250,0.15,0.007896313177499201
63,10,500,0.3,0.007903756031549
64,12,500,0.3,0.007907744076812974
65,13,250,0.3,0.007908360602362885
66,12,1000,0.3,0.007916865802719225
67,12,500,0.25,0.007927026902708332
68,14,250,0.3,0.007932902142536554
69,12,500,0.15,0.007941649702276255
70,12,500,0.2,0.007942948113101657
71,13,250,0.25,0.007954055321531364
72,10,500,0.25,0.007957635476257925
73,10,250,0.1,0.007959453023285124
74,14,750,0.05,0.007966382088814906
75,9,250,0.15,0.007973710318478065
76,11,250,0.1,0.007976349844270444
77,11,500,0.3,0.007976974761363132
78,12,250,0.1,0.007986085918563724
79,11,500,0.15,0.007987397947637207
80,14,250,0.25,0.007990455070248367
81,8,250,0.1,0.008003804732531952
82,11,500,0.25,0.008009507526307347
83,12,750,0.2,0.00802361365438968
84,11,500,0.1,0.008024252695372585
85,14,500,0.3,0.00802723796362192
86,11,500,0.2,0.00803107430946106
87,13,250,0.2,0.008040750632691022
88,7,250,0.1,0.008080716597649681
89,14,500,0.25,0.0080939482040335
90,14,250,0.2,0.008100236246681101
91,11,1000,0.3,0.008104364192476132
92,10,500,0.2,0.008112362410663168
93,15,250,0.3,0.008149119532248122
94,14,500,0.2,0.00820297438242185
95,13,500,0.3,0.008215037075365784
96,13,250,0.15,0.008237146455465935
97,15,250,0.25,0.00828859831689823
98,13,500,0.25,0.008340788479967635
99,14,250,0.15,0.008349780172772017
100,10,250,0.05,0.008367885373099598
101,14,500,0.15,0.008412963705030916
102,11,250,0.05,0.008471011485814446
103,12,250,0.05,0.00851034025294045
104,15,250,0.2,0.008534248741140251
105,13,500,0.2,0.008539480720541621
106,13,750,0.1,0.008564628480882493
107,15,750,0.05,0.00858062152197253
108,8,250,0.05,0.008707843559727943
109,13,1000,0.15,0.008725816227144651
110,12,750,0.15,0.008823918675132388
111,13,250,0.1,0.008846275650933811
112,15,1000,0.1,0.008869343520450776
113,13,500,0.15,0.008896811073632108
114,9,250,0.1,0.008919678570327818
115,15,500,0.15,0.008986891517716892
116,14,500,0.1,0.009025684486496476
117,15,500,0.3,0.009040483641844678
118,15,250,0.15,0.009044995386679132
119,9,250,0.05,0.009049848452259689
120,14,250,0.1,0.009119395784994272
121,15,500,0.1,0.009195119744495822
122,14,1500,0.25,0.009580097304716985
123,12,750,0.05,0.00959852205592665
124,13,500,0.1,0.009799225131264272
125,15,500,0.2,0.009846652172824535
126,10,500,0.15,0.010073595593455218
127,15,500,0.25,0.010101875233319051
128,14,1000,0.1,0.010357232603620412
129,15,1750,0.25,0.010365431642418852
130,15,250,0.1,0.010500367881782467
131,15,1750,0.3,0.010902339919164112
132,6,250,0.1,0.01096828616168248
133,15,1500,0.25,0.011319791623226208
134,15,1000,0.05,0.011530434416650527
135,15,1250,0.1,0.012315436721330593
136,12,1000,0.25,0.012409403054359057
137,13,250,0.05,0.012506875573910413
138,9,500,0.3,0.01302283509080268
139,15,1500,0.2,0.013139383406655046
140,14,250,0.05,0.013507058949056133
141,14,500,0.05,0.014086197909366018
142,12,1000,0.15,0.014878123497490587
143,13,1000,0.2,0.01531349819390667
144,15,500,0.05,0.015939870602911042
145,13,500,0.05,0.01645572922209657
146,13,1250,0.25,0.016759581759919383
147,15,250,0.05,0.018119481143564996
148,15,1250,0.05,0.019372976101151008
149,8,500,0.2,0.01941675259711864
150,10,500,0.1,0.020052238677964556
151,15,1250,0.15,0.020091199740504002
152,12,750,0.1,0.021835404686055795
153,14,1250,0.15,0.023675421017080426
154,15,2000,0.25,0.024951059605413137
155,13,1500,0.3,0.02614739664494165
156,15,1750,0.15,0.026530514814099786
157,13,1000,0.1,0.026810729266500508
158,15,1500,0.15,0.029724075448053285
159,13,750,0.05,0.03036452754229778
160,12,500,0.05,0.030709931475363796
161,15,2250,0.25,0.030979255823784975
162,8,500,0.3,0.035265945393357825
163,15,2000,0.3,0.03699267916253372
164,13,1250,0.3,0.03755805705167051
165,15,2250,0.3,0.039512058324296946
166,11,750,0.15,0.04067508884113418
167,14,1250,0.05,0.0410620001512332
168,10,500,0.05,0.0471289320531429
169,15,2000,0.1,0.048442716759982844
170,9,500,0.2,0.049101645552598765
171,12,750,0.25,0.051446479370852984
172,15,2750,0.25,0.053434282426758524
173,13,1250,0.2,0.05487593257370838
174,15,2000,0.2,0.056999295197976446
175,6,250,0.05,0.058610562137810435
176,15,1750,0.05,0.0630404479571224
177,13,1000,0.05,0.06322924833326388
178,12,1000,0.1,0.06569518976907553
179,12,1000,0.2,0.06579717032212426
180,12,1250,0.25,0.06704548179893813
181,14,1750,0.3,0.07493443454404106
182,15,1750,0.2,0.07515900466003843
183,9,500,0.25,0.08507714210777394
184,10,750,0.2,0.08516215030626606
185,12,1250,0.15,0.09297425079680872
186,14,1000,0.05,0.0974084717946456
187,15,1500,0.1,0.1088799017552936
188,13,1500,0.25,0.11342439638562764
189,13,1250,0.15,0.11901058296232395
190,14,1750,0.1,0.12106003747429968
191,15,250,0.0,0.12860948660685262
192,7,250,0.05,0.13066292217201989
193,14,250,0.0,0.13192967353642784
194,10,750,0.25,0.14003421704946697
195,13,250,0.0,0.14089538853917027
196,12,1250,0.1,0.14294259400713877
197,11,1250,0.3,0.14563134870634614
198,12,500,0.1,0.14762158490656305
199,14,1750,0.25,0.14818784632351145
200,14,1250,0.1,0.15197950113563496
201,15,2000,0.15,0.1523699447855397
202,13,1750,0.25,0.1537395340039021
203,12,1250,0.3,0.15629139622594881
204,15,2250,0.2,0.15636468757494817
205,14,2500,0.3,0.1633588917312853
206,11,500,0.05,0.16721788403663582
207,13,1250,0.1,0.17219494389703102
208,8,500,0.25,0.1729182225784071
209,10,750,0.15,0.17525589836970246
210,14,1500,0.2,0.18255327361307355
211,14,1750,0.2,0.18499928834144488
212,15,3000,0.25,0.2015365056171531
213,12,250,0.0,0.20169952353724963
214,13,1750,0.3,0.21288715253668503
215,9,750,0.15,0.22244063154039245
216,13,1500,0.2,0.22475186531807909
217,11,250,0.0,0.237658211823217
218,9,750,0.3,0.238197143452048
