TIMESTAMP,ITO_OPEN_PRICE_USD,ITO_HIGH_PRICE_USD,ITO_LOW_PRICE_USD,ITO_CLOSE_PRICE_USD,ITO_VOLUME_USD,ITO_DIVIDENDS_USD,ITO_STOCK_SPLITS_USD
2024-08-02 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,2261898,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,340766,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,122007,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,60475,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,471903,0.0,0.0
2024-08-07 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,1013638,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,123720,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,54257,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,21169,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,13344,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,8105,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,18546,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,41463,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,71030,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,31085,0.0,0.0
2024-08-17 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,176446,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,201137,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,63339,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,9776,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,82674,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,9109,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,49049,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,24598,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,11042,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,8022,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,10904,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,56963,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,16058,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,1025,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,6740,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,4989,0.0,0.0
