TIMESTAMP,JOE28292_OPEN_PRICE_USD,JOE28292_HIGH_PRICE_USD,JOE28292_LOW_PRICE_USD,JOE28292_CLOSE_PRICE_USD,JOE28292_VOLUME_USD,JOE28292_DIVIDENDS_USD,JOE28292_STOCK_SPLITS_USD
2023-10-26 00:00:00+00:00,0.001183000043965876,0.0026140001136809587,0.0003349999897181988,0.000577000027988106,338514,0.0,0.0
2023-10-27 00:00:00+00:00,0.0005840000230818987,0.0009399999980814755,9.40000027185306e-05,0.00020500000391621143,242855,0.0,0.0
2023-10-28 00:00:00+00:00,0.0001880000054370612,0.0006000000284984708,0.00013499999477062374,0.0003110000106971711,141835,0.0,0.0
2023-10-29 00:00:00+00:00,0.00030899999546818435,0.0006120000034570694,0.00023600000713486224,0.0002800000074785203,207123,0.0,0.0
2023-10-30 00:00:00+00:00,0.0002800000074785203,0.0003349999897181988,0.00015799999528098851,0.0001939999929163605,60016,0.0,0.0
2023-10-31 00:00:00+00:00,0.00019999999494757503,0.00020700000459328294,0.00013600000238511711,0.00015700000221841037,27416,0.0,0.0
2023-11-01 00:00:00+00:00,0.00015700000221841037,0.00018200000340584666,0.0001340000017080456,0.0001429999974789098,32584,0.0,0.0
2023-11-02 00:00:00+00:00,0.0001429999974789098,0.0001630000042496249,0.00010299999848939478,0.0001250000059371814,14520,0.0,0.0
2023-11-03 00:00:00+00:00,0.0001250000059371814,0.0001250000059371814,8.800000068731606e-05,9.40000027185306e-05,12292,0.0,0.0
2023-11-04 00:00:00+00:00,9.40000027185306e-05,9.600000339560211e-05,6.199999916134402e-05,7.899999764049426e-05,15675,0.0,0.0
2023-11-05 00:00:00+00:00,7.899999764049426e-05,0.0001140000022132881,6.600000051548705e-05,9.899999713525176e-05,4758,0.0,0.0
2023-11-06 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,6.600000051548705e-05,6.600000051548705e-05,2717,0.0,0.0
2023-11-07 00:00:00+00:00,6.600000051548705e-05,7.200000254670158e-05,6.0999998822808266e-05,6.399999983841553e-05,1535,0.0,0.0
2023-11-08 00:00:00+00:00,6.399999983841553e-05,0.00010199999815085903,6.399999983841553e-05,8.099999831756577e-05,3712,0.0,0.0
2023-11-09 00:00:00+00:00,8.099999831756577e-05,9.899999713525176e-05,7.100000220816582e-05,7.200000254670158e-05,4968,0.0,0.0
2023-11-10 00:00:00+00:00,7.200000254670158e-05,9.500000305706635e-05,6.500000017695129e-05,8.900000102585182e-05,3254,0.0,0.0
2023-11-11 00:00:00+00:00,8.900000102585182e-05,8.900000102585182e-05,7.000000186963007e-05,7.699999696342275e-05,3287,0.0,0.0
