TIMESTAMP,CASINU_OPEN_PRICE_USD,CASINU_HIGH_PRICE_USD,CASINU_LOW_PRICE_USD,CASINU_CLOSE_PRICE_USD,CASINU_VOLUME_USD,CASINU_DIVIDENDS_USD,CASINU_STOCK_SPLITS_USD
2024-02-05 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,1.9999999494757503e-05,2.499999936844688e-05,1350797,0.0,0.0
2024-02-06 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,9.999999747378752e-06,1.2000000424450263e-05,1273924,0.0,0.0
2024-02-07 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,7.999999979801942e-06,7.999999979801942e-06,506148,0.0,0.0
2024-02-08 00:00:00+00:00,7.999999979801942e-06,1.4999999621068127e-05,7.999999979801942e-06,7.999999979801942e-06,390996,0.0,0.0
2024-02-09 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,299952,0.0,0.0
2024-02-10 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,96578,0.0,0.0
2024-02-11 00:00:00+00:00,6.000000212225132e-06,1.4999999621068127e-05,6.000000212225132e-06,1.2000000424450263e-05,401797,0.0,0.0
2024-02-12 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,6.000000212225132e-06,7.000000096013537e-06,206639,0.0,0.0
2024-02-13 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,127423,0.0,0.0
2024-02-14 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,160221,0.0,0.0
2024-02-15 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,112491,0.0,0.0
2024-02-16 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,183163,0.0,0.0
2024-02-17 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,56908,0.0,0.0
2024-02-18 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,125902,0.0,0.0
2024-02-19 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,62691,0.0,0.0
2024-02-20 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,40327,0.0,0.0
2024-02-21 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,40039,0.0,0.0
2024-02-22 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,32509,0.0,0.0
2024-02-23 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,27921,0.0,0.0
