,BTC,Lag
USDT,2.1544217527977748e-32,6
VEC2,4.289357501684715e-13,20
WYZ,2.3681316742375835e-12,30
UNIT,1.6230166304118063e-10,22
C2,4.5862322404146255e-10,5
ACES,4.4852493776274315e-09,27
XPY,9.22346841923328e-08,30
RBT,7.675614549560734e-07,30
SKULL,9.904164717750892e-07,4
TAJ,2.0555937200601016e-06,29
WBB,2.674205865846636e-06,27
ACOIN,4.274815816750143e-06,2
ICON,4.433937295007302e-06,12
SWING,5.408339111598697e-06,8
LDOGE,6.639489011021902e-06,10
PXI,1.0994648064622108e-05,16
ARGUS,1.4749534258152926e-05,30
PUT,2.364198146410564e-05,8
XLM,4.279907687896981e-05,2
VLT,4.85009947544256e-05,26
CSC,5.57811775243388e-05,29
EDRC,6.24107011309607e-05,29
FRC,8.27600461999835e-05,13
CJ,8.812806445886343e-05,13
QBC,8.92379079357071e-05,1
IBANK,0.00014211332767,4
KOBO,0.0001460751054394,29
DOGE,0.0001603379299112,30
BLAZR,0.0001940487990309,9
ETH,0.000208959376714,20
IRL,0.0002639499322832,24
MONA,0.0002733781054975,2
VIDZ,0.0003686362309687,24
PKB,0.0003738345287543,19
CREVA,0.000463078208007,12
XMR,0.000508249776895,20
EUC,0.0005429805297739,28
HMQ,0.0008506150281417,11
LTC,0.0008506418348586,15
LOOK,0.0010047791654157,16
2GIVE,0.0011180747127331,27
LMC,0.0012673702936058,29
FRN,0.0014775447711465,25
CARBON,0.0015331551622809,25
DASH,0.0017209321279472,25
EVIL,0.0019837451427827,23
WGR,0.0029756110826262,10
ZET,0.0030946900029935,29
KURT,0.0031890790683358,5
ETC,0.0039391774957366,26
SC,0.0042454753844357,29
ALIAS,0.0043854006979862,13
EQB,0.0044395640525092,3
AV,0.0046109592979597,13
PTOY,0.0047650997979211,17
SXC,0.0048912445418124,19
LUNC,0.0049365397454499,30
DIME,0.0053197609213662,30
POST,0.0054620734661426,24
BAT,0.0054657056469287,13
RLC,0.0056461681417691,28
CANN,0.0059304587388579,16
GNO,0.0059823162821258,20
IMS,0.0061963951423227,27
GRS,0.0065116105530367,30
WC,0.0066357559025452,7
START,0.0072514254964686,3
SKR,0.0084290283117753,12
DCY,0.0089106455090518,30
ENT,0.0091135307024832,30
XMS,0.0091525817769663,11
LTCR,0.0091575651300226,6
TRST,0.0092187684794346,21
PIVX,0.0094616911756733,7
NXS,0.0095769313439976,30
ZEC,0.0101112565505406,13
DEM,0.0101181941069343,28
AMBER,0.0108489792955077,2
VTC,0.0115564148571946,1
ADZ,0.0122679447929347,30
DGB,0.0124493279362692,29
XEM,0.0140821273894511,20
XRP,0.0144990241617804,30
BTA,0.0147687420004803,1
QTZ,0.0149628265166389,17
WAVES,0.0165755568926288,10
BLU,0.0176291491316505,23
SANDG,0.0178627818291266,26
HBD,0.0179043971718268,28
ZYD,0.0186069114494911,23
GBYTE,0.0201618395000563,27
LBC,0.020853624004022,6
XBC,0.0228752567267106,5
STEEM,0.0241027073689024,28
BS,0.0241878874732752,14
BTB,0.0279808635889889,28
SYS,0.0280896437235785,1
EFL,0.0284130731782592,14
XST,0.0296735251057654,30
IOTA,0.0300356148283192,2
SWT,0.0317426956641348,18
LUN,0.0322728609286427,21
NETKO,0.0327631142861061,29
ZCL,0.0346638289745345,11
TAB,0.0356639041137573,14
HVCO,0.03568211780324,13
XWC,0.0365242916307468,30
AMS,0.0377065587759356,1
NOBL,0.0381959228237503,6
CRW,0.0402139107900766,18
PXC,0.041912748009858,17
XTO,0.0451999793318206,19
NXT,0.0476989930827159,9
IFC,0.0481533994875259,16
CF,0.0494146704839211,15
COOL,0.0531928410293821,14
CAB,0.0548337886008104,29
NYC,0.056180886785995,2
BCDN,0.0586837117737223,16
QTUM,0.0602822802576278,18
GAS,0.0657875831632398,7
XPM,0.0664117260621463,11
DCR,0.0721371036472614,3
BERN,0.0770276425056352,2
NEWB,0.0771828744048072,30
LANA,0.0778100484905057,1
PAK,0.0779883875155562,4
CETI,0.0784891427068671,29
XPX,0.0818628206795584,8
OZO,0.0826917578298444,4
XHI,0.086080177096804,12
ZUR,0.087261315759224,28
SLS,0.0900786354111689,29
MAY,0.0901173999206723,2
ADC,0.0955898326601889,3
PZM,0.0987503633931325,6
KMD,0.0987877561981139,7
VAL,0.0988618566049107,5
NMC,0.0997268059476673,2
ANT,0.1009081951979024,1
SPR,0.1067332532332427,1
BOLI,0.1072956696728751,7
CLAM,0.1084768059191415,18
XDN,0.1154533234077384,30
XBY,0.1237997359136674,17
BTCS,0.1249953370282093,25
ZOOM,0.1271336096591069,4
RBY,0.1274344080345664,20
ILC,0.1293315460621697,18
HNC,0.1318827421600114,17
XQN,0.1329648325371402,13
WINGS,0.1353214793153558,1
ZENI,0.1384188166990349,29
MAID,0.1391131904373229,21
ZER,0.1430253181958946,29
NVC,0.1449144755056976,1
ZEN,0.1474899098172987,29
BCN,0.1504350597331327,7
TES,0.1676900635720251,30
MST,0.1701028664966112,1
LAMB,0.1742226689977241,14
MOTO,0.1869742682626949,27
HBN,0.1885728315694408,14
CKC,0.1913125497676135,10
JLP,0.2036305598414916,1
FOREX,0.2078056682159941,19
DGC,0.2081380455772035,1
BLK,0.2205067586596613,24
SHND,0.2206079831586999,24
PHR,0.2212580846564454,1
AGRS,0.228825410357583,1
MCN,0.2339318475531556,27
CLOAK,0.2375841673548913,6
DCT,0.2391057837760833,1
KIN,0.2550513407506292,29
WDC,0.2607416414834604,1
LOG,0.2798855097831403,1
NAV,0.2910331357556376,2
CYT,0.3012522616996522,1
FTC,0.3235247631862667,26
SNRG,0.3314178545073837,5
SILK,0.3426598409528103,3
ICOB,0.3456577656555223,18
PLU,0.3462611866651473,7
IXC,0.3494052721337788,16
TECH,0.352558284709089,20
FIRO,0.3548536846853957,2
PIE,0.3698633849958552,5
GCC,0.3872056449159936,1
AXIOM,0.3874061162986356,4
BRIT,0.3986294344524497,7
MNTC,0.4050980857485119,1
RBIES,0.4114150163628418,5
PASC,0.4178103192038966,1
GLC,0.4232341036177673,3
PPC,0.4274508612071392,1
LSK,0.435219726471309,1
SIGNA,0.444943991139,23
CLUB,0.4457981511246036,7
ARK,0.4717638982912491,7
OPAL,0.4756146748469612,16
RDD,0.5022786486335824,16
BTS,0.5204034173826988,30
BITS,0.5231093188602589,1
SIB,0.5248116092011936,30
POT,0.5450055332905462,1
RRT,0.5661331799869489,27
SWIFT,0.5861695872039157,1
NEVA,0.5984129489216466,1
AE,0.5990386681170914,23
HUSH,0.6089064255389347,16
INF,0.6207450315024998,2
XPTX,0.6422895422092358,2
XCP,0.6492030558579178,1
CNT,0.6921327027680507,13
OK,0.6928900803575302,1
SONG,0.7538542292585,1
BIS,0.777800349225641,1
VERI,0.7815200177755038,1
42,0.8967212470045617,1
BSTY,0.9074749572563964,2
