,BTC
USDT,3.0084189181245335e-30
C2,2.060365982671596e-07
UNIT,3.2420569629185884e-06
VEC2,1.09895109177745e-05
ACES,2.708623596807013e-05
SWING,3.9756434201877466e-05
ICON,5.039476883195913e-05
SKULL,7.676338130408478e-05
XLM,0.0001420861635576
XPY,0.0001680971173432
PXI,0.00019814230793965002
PUT,0.00027458186698075
TAJ,0.0004993350276853
CJ,0.0009552940952594
WBB,0.0011629820001145
IBANK,0.00139489962818445
LDOGE,0.0019571937478532
QBC,0.0028650108998827
VIDZ,0.0031232999567634
ACOIN,0.00336581835454855
EDRC,0.00382483259318395
HMQ,0.0042985914846014
BLAZR,0.00433875322079115
DOGE,0.00471469807144985
RBT,0.004791446376187751
PKB,0.00493633967694775
CREVA,0.0059210967685491
MONA,0.0067079980264327
FRC,0.00682741698195395
VLT,0.0081459609047308
XMR,0.0083197795551426
FRN,0.00960755143852485
ETH,0.01041617393694265
WGR,0.01171347407902585
EUC,0.013098465309094299
LTC,0.01343089979599895
PTOY,0.015083733906690051
EVIL,0.0185419404231068
EQB,0.0203858626322861
ARGUS,0.020776467134284347
IMS,0.0237679854306438
BAT,0.02667146861627985
AV,0.027185783457423347
ALIAS,0.02813513740736125
GNO,0.03018565647155795
LOOK,0.0316870729522286
CANN,0.0317119153122095
KOBO,0.036392224096779696
CSC,0.03804396748599325
SXC,0.04030112623970055
DCY,0.04077019304391345
ZEC,0.0472108326391589
ETC,0.048553824601835854
DASH,0.050611762697955295
BLU,0.05599011447868355
WAVES,0.0589830053669956
EFL,0.05987390952379315
KURT,0.06437981427124055
ENT,0.06765074009483145
XEM,0.067906194073866
RLC,0.06823644579191379
START,0.06889355795560555
XRP,0.07311559287616845
DEM,0.0799690211750594
ZYD,0.0802713986322724
GBYTE,0.0815932942639056
XMS,0.084424146211376
DIME,0.0872751863787557
LTCR,0.08900233830336285
POST,0.0897266452433262
SKR,0.0978880701222681
LBC,0.09840107180775856
NXS,0.1011475317282602
HBD,0.10155778231591014
2GIVE,0.10479496285264026
TAB,0.1052477843927119
BS,0.10552099144457369
XBC,0.11174114012485525
SC,0.1206330373940517
SANDG,0.12336438383487941
NEWB,0.1271412590469373
ZCL,0.12963633946582276
QTZ,0.1300965110107853
ADZ,0.13605243650487747
WC,0.13846113139270644
HVCO,0.14090228878167876
XPM,0.1531527467049713
AMBER,0.16286977366982208
XWC,0.16611302655167848
COOL,0.17101240153179903
PIVX,0.1733723921452418
IFC,0.17530335419119064
QTUM,0.18774961786564576
GAS,0.1981330310006046
BCDN,0.20100040351529985
LMC,0.2041663012303917
BTB,0.2057187157386024
STEEM,0.20779343163539798
SWT,0.21387916245278873
LUNC,0.2170698509334782
XPX,0.2173466916512464
IRL,0.22612716902956775
PXC,0.2470220682983858
BOLI,0.25458051259298964
DGB,0.26056963759375534
ZOOM,0.2631630331960493
XTO,0.2671014098465135
NETKO,0.26788127707306014
XHI,0.27195215313178306
KMD,0.27302131156725534
NOBL,0.27737929206557477
DCR,0.279997706379741
SPR,0.28257603967863665
PZM,0.2828805055064416
NXT,0.29646268973669415
HBN,0.3120320090165879
ZET,0.3149650493701476
BTCS,0.33080723333120454
CLAM,0.33415155743886604
SYS,0.3361697621696019
VTC,0.33713242226458695
GRS,0.3388888005122167
TRST,0.34055509796913375
LAMB,0.3460139398614644
ILC,0.3485469642841987
CRW,0.3491000360935511
OZO,0.3508340969400986
XQN,0.35200582994352764
LUN,0.3612049729888825
SLS,0.37536312290190843
CF,0.376552043042384
FOREX,0.39478207343068744
MAY,0.405910124182113
RBY,0.40985335894877617
XDN,0.4336669198321874
ZER,0.45039286078117086
WYZ,0.45468607238259756
TECH,0.4598015005433921
BLK,0.47359353579362573
IOTA,0.47903059822500327
XBY,0.4846683595720815
CARBON,0.4862624189279461
MST,0.49205471485368796
NYC,0.49350560207271654
ZUR,0.49492566519393094
MAID,0.499123158928492
CAB,0.4992552610869673
MCN,0.5207734683570322
TES,0.530292937733216
NMC,0.5328959612043233
CLOAK,0.548865964494882
BCN,0.5561533720547234
PLU,0.5580215367731738
SHND,0.5684203907775895
MOTO,0.571084848733161
KIN,0.5744434181200639
ADC,0.5779349685877728
FTC,0.5814897795455711
ANT,0.6013060990888017
ICOB,0.6020623178905314
IXC,0.6026533771548959
PAK,0.6122235702321239
CETI,0.6198378159994412
SNRG,0.6386156966456058
SIGNA,0.6557393615507359
SILK,0.6563988517566459
OPAL,0.665974473651271
BRIT,0.6779940895264397
AXIOM,0.679963562319704
CKC,0.6820836065940366
BTA,0.6852469529090948
ZEN,0.7139926559545927
PIE,0.717684226092097
CYT,0.7197612558954936
AE,0.7428091387535576
HNC,0.7517463935668558
VAL,0.776919092658283
JLP,0.7880597198051693
ARK,0.800151591421957
CLUB,0.8052842415675563
WDC,0.8081546590365254
DCT,0.8116772364634978
RRT,0.8170898618197442
POT,0.8185558581321414
NAV,0.8306897286054543
NVC,0.8355469935735012
BERN,0.8355954843839946
WINGS,0.8383291603455398
PASC,0.8398402986416467
FIRO,0.8402539578538176
PHR,0.846216319176854
LOG,0.8529925996335979
HUSH,0.8579349503805098
AMS,0.8584610096989542
RDD,0.8680239646180663
ZENI,0.8707822433127439
SIB,0.8722815302241709
DGC,0.8984860741766743
XPTX,0.8985806693529947
PPC,0.9046087909985606
BITS,0.9061203145404924
RBIES,0.9090657350699924
