,Frequency,ADF_P_Val,ADF_Determination,KPSS_P_Val,KPSS_Determination
0,12_Hour,0.04252897472988565,Stationary,0.01,Non-Stationary
1,1_Day,0.10859369119471796,Non-Stationary,0.01,Non-Stationary
2,1_Hour,0.032041292156371685,Stationary,0.01,Non-Stationary
3,2_Hour,0.020052140874600312,Stationary,0.01,Non-Stationary
4,4_Hour,0.006856316444753591,Stationary,0.01,Non-Stationary
5,6_Hour,0.023572963262704756,Stationary,0.01,Non-Stationary
6,8_Hour,0.04492197441515562,Stationary,0.01,Non-Stationary
