TIMESTAMP,XMR_OPEN_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_CLOSE_PRICE_USD
2017-06-01,41.8395004272,45.5168991089,41.8395004272,43.7036018372
2017-06-02,43.7356987,44.6545982361,42.9958992004,44.004699707
2017-06-03,43.9864006042,44.4177017212,42.1586990356,42.3699989319
2017-06-04,42.3417015076,43.4169998169,41.6968994141,42.8973007202
2017-06-05,42.8843994141,48.5,42.8843994141,48.2617988586
2017-06-06,48.3675003052,55.5682983398,47.1195983887,55.5682983398
2017-06-07,55.2932014465,62.3776016235,52.0614013672,52.5360984802
2017-06-08,52.9081001282,56.456199646,51.4460983276,56.1925010681
2017-06-09,56.1315002441,57.2252006531,55.2901000977,55.623500824
2017-06-10,55.5871009827,56.245300293,51.9207992554,52.2831001282
2017-06-11,52.3678016663,58.7011985779,51.9478988647,58.7011985779
2017-06-12,59.0904998779,59.8050003052,45.7785987854,50.0402984619
2017-06-13,49.8008995056,52.8689994812,49.7293014526,51.804599762
2017-06-14,51.9818000793,53.5565986633,44.3708000183,46.302898407
2017-06-15,46.2387008667,47.0247993469,38.7486000061,46.0243988037
2017-06-16,45.9712982178,48.2448005676,44.167301178,48.1074981689
2017-06-17,48.1899986267,51.2024993896,48.090801239,50.4602012634
2017-06-18,50.4907989502,51.7025985718,48.9749984741,49.601398468
2017-06-19,49.6218986511,50.6694984436,48.5167999268,49.0898017883
2017-06-20,49.0307006836,50.9105987549,47.6002006531,48.082698822
2017-06-21,48.1699981689,48.9121017456,45.5377998352,46.587600708
2017-06-22,46.8027992249,47.8044013977,46.6433982849,47.2840003967
2017-06-23,47.4523010254,52.5138015747,46.746799469,51.4089012146
2017-06-24,51.4309997559,51.8083992004,47.2971992493,48.0345993042
2017-06-25,47.8427009583,48.7312011719,45.2843017578,45.8921012878
2017-06-26,45.8978996277,48.2038993835,39.3914985657,43.4930000305
2017-06-27,43.4930000305,44.0533981323,38.5074996948,43.5717010498
2017-06-28,43.7962989807,47.4113006592,42.2900009155,47.3240013123
2017-06-29,47.0392990112,47.9067993164,44.6743011475,45.0214996338
2017-06-30,45.0928001404,45.8740005493,43.4823989868,43.7267990112
2017-07-01,43.7065010071,43.9786987305,39.7951011658,40.9558982849
2017-07-02,40.9351997375,42.9978981018,40.2200012207,42.7942008972
2017-07-03,42.5091018677,44.1390991211,41.8165016174,43.6259994507
2017-07-04,43.5475006104,45.5271987915,43.5475006104,45.4700012207
2017-07-05,45.3046989441,46.8950004578,44.134601593,45.7209014893
2017-07-06,45.9604988098,50.2605018616,45.8776016235,50.1169013977
2017-07-07,50.1110992432,50.6519012451,43.8396987915,44.2477989197
2017-07-08,44.1694984436,46.2379989624,41.8950996399,46.1022987366
2017-07-09,46.6945991516,47.0032997131,44.5556983948,44.8497009277
2017-07-10,44.9076004028,45.1231994629,38.8401985168,40.0074996948
2017-07-11,40.248500824,40.7333984375,35.3368988037,37.1363983154
