TIMESTAMP,PURPE_OPEN_PRICE_USD,PURPE_HIGH_PRICE_USD,PURPE_LOW_PRICE_USD,PURPE_CLOSE_PRICE_USD,PURPE_VOLUME_USD,PURPE_DIVIDENDS_USD,PURPE_STOCK_SPLITS_USD
2024-07-10 00:00:00+00:00,3.300000025774352e-05,4.3000000005122274e-05,2.9999999242136255e-05,3.099999958067201e-05,3128722,0.0,0.0
2024-07-11 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,1.8999999156221747e-05,2.300000051036477e-05,5730429,0.0,0.0
2024-07-12 00:00:00+00:00,2.300000051036477e-05,3.199999991920777e-05,1.9999999494757503e-05,2.8000000384054147e-05,2930586,0.0,0.0
2024-07-13 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.300000051036477e-05,1712247,0.0,0.0
2024-07-14 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,9.000000318337698e-06,1.5999999959603883e-05,6175895,0.0,0.0
2024-07-15 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,9.999999747378752e-06,9.999999747378752e-06,2554534,0.0,0.0
2024-07-16 00:00:00+00:00,9.999999747378752e-06,1.9999999494757503e-05,9.000000318337698e-06,1.8999999156221747e-05,2289765,0.0,0.0
2024-07-17 00:00:00+00:00,1.8999999156221747e-05,2.9999999242136255e-05,1.8000000636675395e-05,2.099999983329326e-05,4384321,0.0,0.0
2024-07-18 00:00:00+00:00,2.099999983329326e-05,2.700000004551839e-05,2.099999983329326e-05,2.300000051036477e-05,1200979,0.0,0.0
2024-07-19 00:00:00+00:00,2.300000051036477e-05,3.400000059627928e-05,2.2000000171829015e-05,3.300000025774352e-05,1545361,0.0,0.0
2024-07-20 00:00:00+00:00,3.300000025774352e-05,3.7999998312443495e-05,3.099999958067201e-05,3.400000059627928e-05,2219841,0.0,0.0
2024-07-21 00:00:00+00:00,3.400000059627928e-05,3.7000001611886546e-05,2.5999999706982635e-05,3.099999958067201e-05,1875915,0.0,0.0
2024-07-22 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.700000004551839e-05,2.9999999242136255e-05,1007236,0.0,0.0
2024-07-23 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.9000000722589903e-05,3.400000059627928e-05,1136101,0.0,0.0
2024-07-24 00:00:00+00:00,3.400000059627928e-05,4.600000102072954e-05,3.199999991920777e-05,3.5000000934815034e-05,1876256,0.0,0.0
