TIMESTAMP,WAGMI25385_OPEN_PRICE_USD,WAGMI25385_HIGH_PRICE_USD,WAGMI25385_LOW_PRICE_USD,WAGMI25385_CLOSE_PRICE_USD,WAGMI25385_VOLUME_USD,WAGMI25385_DIVIDENDS_USD,WAGMI25385_STOCK_SPLITS_USD
2023-05-18 00:00:00+00:00,,,,0.0,26229855,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,22512753,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,9893442,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,9419854,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,4634691,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,2825525,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,5408280,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,4651003,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,2982484,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,1502717,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,1226403,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,1285376,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,1666060,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,739263,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,464087,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,543885,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,443626,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,304882,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,480323,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,356529,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,365794,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,332200,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,236104,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,220502,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,433770,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,235000,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,145804,0.0,0.0
