TIMESTAMP,ETH_ACTIVE_ADDRESSES_UNIQUE_ADDRESS_TOTAL_COUNT,ETH_ACTIVE_ADDRESSES_UNIQUE_ADDRESS_SENT_FROM_COUNT,ETH_ACTIVE_ADDRESSES_UNIQUE_ADDRESS_SENT_TO_COUNT,ETH_ACTIVE_ERC20_ADDRESSES_UNIQUE_ADDRESS_TOTAL_COUNT,ETH_ACTIVE_ERC20_ADDRESSES_UNIQUE_ADDRESS_RECEIVE_COUNT,ETH_ACTIVE_ERC20_ADDRESSES_UNIQUE_ADDRESS_SENT_COUNT,ETH_AVERAGE_BLOCK_SIZE_BYTES,ETH_AVERAGE_BLOCK_TIME_SECONDS,ETH_AVERAGE_GAS_LIMIT,ETH_AVERAGE_GAS_PRICE_WEI,ETH_AVERAGE_TXN_FEE_USD,ETH_AVERAGE_TXN_FEE_ETHER,ETH_BLOCK_COUNT,ETH_BLOCK_REWARDS_ETH,ETH_ERC20_TOKEN_TRANSFER_COUNT,ETH_BURNT_FEES_ETH,ETH_NETWORK_DIFFICULTY_TERAHASHES,ETH_NETWORK_HASH_RATE_GIGAHASHES_PER_SECOND,ETH_NETWORK_TRANSACTION_FEE_ETH,ETH_NETWORK_UTILIZATION,ETH_TOTAL_GAS_USED,ETH_TRANSACTION_COUNT,ETH_UNCLE_BLOCK_COUNT,ETH_UNIQUE_ADDRESS_COUNT
2015-07-30,8894,1,8893,0,0,0,644,4.46,0,0,0.0,0,6912,39316.09375,0,,0.121,11.5297,0.0,0.0,0,8893,1299,9205
2015-07-31,0,0,0,0,0,0,582,12.58,0,0,0.0,0,6863,36191.71875,0,,0.603,51.4594,0.0,0.0,0,0,511,9361
2015-08-01,0,0,0,0,0,0,575,16.34,0,0,0.0,0,5293,27705.9375,0,,0.887,57.7845,0.0,0.0,0,0,334,9476
2015-08-02,0,0,0,0,0,0,581,16.12,0,0,0.0,0,5358,28223.4375,0,,1.02,67.9224,0.0,0.0,0,0,394,9563
2015-08-03,0,0,0,0,0,0,587,16.37,0,0,0.0,0,5280,27976.71875,0,,1.126,74.5737,0.0,0.0,0,0,443,9639
2015-08-04,0,0,0,0,0,0,587,16.1,0,0,0.0,0,5368,28478.4375,0,,1.217,82.0352,0.0,0.0,0,0,458,9696
2015-08-05,0,0,0,0,0,0,579,16.51,0,0,0.0,0,5235,27528.59375,0,,1.328,86.1558,0.0,0.0,0,0,371,9749
2015-08-06,0,0,0,0,0,0,584,16.89,0,0,0.0,0,5116,27075.46875,0,,1.381,88.3326,0.0,0.0,0,0,411,9790
2015-08-07,1087,784,609,0,0,0,633,16.65,122980,604684154870,0.05,0,5189,27437.65625,0,,1.471,95.2981,37.3184135112793,0.1317,49353826,2050,409,10314
2015-08-08,827,605,477,0,0,0,668,16.44,1940277,322713574989,0.02,0,5256,27943.4375,0,,1.586,104.8971,68.09997007185683,0.0468,376006093,2881,458,10730
2015-08-09,733,462,500,0,0,0,618,16.86,3141325,475467129048,0.01,0,5123,27178.28125,0,,1.709,109.6916,14.09894970320559,0.0024,38863003,1329,421,11004
