TIMESTAMP,SOURCE_OPEN_PRICE_USD,SOURCE_HIGH_PRICE_USD,SOURCE_LOW_PRICE_USD,SOURCE_CLOSE_PRICE_USD,SOURCE_VOLUME_USD,SOURCE_DIVIDENDS_USD,SOURCE_STOCK_SPLITS_USD
2021-11-23 00:00:00+00:00,3.1076509952545166,3.302112102508545,2.454456090927124,2.545258045196533,4376582,0.0,0.0
2021-11-24 00:00:00+00:00,2.545341968536377,2.676754951477051,2.489137887954712,2.5769760608673096,1819729,0.0,0.0
2021-11-25 00:00:00+00:00,2.595921039581299,2.798659086227417,2.4953999519348145,2.762294054031372,314260,0.0,0.0
2021-11-26 00:00:00+00:00,2.5349268913269043,3.0437850952148438,2.5323948860168457,2.7143890857696533,504217,0.0,0.0
2021-11-27 00:00:00+00:00,2.7140378952026367,2.8477420806884766,2.6953330039978027,2.7544329166412354,315401,0.0,0.0
2021-11-28 00:00:00+00:00,2.754671096801758,2.8076210021972656,2.6625449657440186,2.7104380130767822,176182,0.0,0.0
2021-11-29 00:00:00+00:00,2.7085790634155273,2.7496800422668457,2.6390810012817383,2.6441729068756104,204064,0.0,0.0
2021-11-30 00:00:00+00:00,2.644047975540161,2.922821044921875,2.644047975540161,2.901279926300049,205399,0.0,0.0
2021-12-01 00:00:00+00:00,2.900588035583496,2.9118809700012207,2.709359884262085,2.765623092651367,180618,0.0,0.0
2021-12-02 00:00:00+00:00,2.7655189037323,2.907294988632202,2.5395889282226562,2.56276798248291,228857,0.0,0.0
2021-12-03 00:00:00+00:00,2.563817024230957,2.644956111907959,2.5088961124420166,2.5545520782470703,193402,0.0,0.0
2021-12-04 00:00:00+00:00,2.552320957183838,2.593338966369629,2.4260730743408203,2.460714101791382,172737,0.0,0.0
2021-12-05 00:00:00+00:00,2.4567480087280273,2.590373992919922,2.431027889251709,2.4352269172668457,126900,0.0,0.0
2021-12-06 00:00:00+00:00,2.4339261054992676,2.5349769592285156,2.414971113204956,2.5156919956207275,188971,0.0,0.0
2021-12-07 00:00:00+00:00,2.515315055847168,2.5443949699401855,2.4698219299316406,2.504261016845703,179855,0.0,0.0
2021-12-08 00:00:00+00:00,2.50484299659729,2.50484299659729,2.3399839401245117,2.3424270153045654,172908,0.0,0.0
2021-12-09 00:00:00+00:00,2.340580940246582,2.376534938812256,2.062946081161499,2.0828731060028076,180324,0.0,0.0
2021-12-10 00:00:00+00:00,2.082603931427002,2.1639890670776367,2.0226919651031494,2.102647066116333,111155,0.0,0.0
2021-12-11 00:00:00+00:00,2.1019160747528076,2.126781940460205,2.0030829906463623,2.0180130004882812,90159,0.0,0.0
2021-12-12 00:00:00+00:00,2.0175840854644775,2.0562150478363037,2.0050270557403564,2.0370850563049316,81557,0.0,0.0
2021-12-13 00:00:00+00:00,2.036700963973999,2.049962043762207,1.9838659763336182,2.001499891281128,113883,0.0,0.0
