,Expected,Predicted,Expected_Normalized,Predicted_Normalized
0,36693.09,36763.994999999995,1.8775194179835428,1.8829792666666665
1,37568.68,36842.16,1.9449418879191596,1.8889981
2,39246.79,37713.721,2.0741602675530717,1.9561104
3,36829.0,39621.308,1.8879848046244931,2.102999033333333
4,35513.2,38045.12233333333,1.7866651390946406,1.9816290666666667
5,35796.31,36214.788,1.8084652686798028,1.840689
6,33552.79,35744.44866666667,1.6357090017626918,1.8044718
7,33380.81,33849.959,1.6224661410864307,1.6585917
8,37388.05,33603.13533333334,1.931032957090267,1.6395856999999998
9,36675.72,36574.99366666667,1.8761818875151943,1.8684257333333332
10,37331.98,36835.937666666665,1.926715436459275,1.8885189999999998
11,35546.11,37507.36433333334,1.7891992857678338,1.9402204333333335
12,39020.57,36424.945,2.0567408005093237,1.8568716
13,40516.29,38172.29633333333,2.1719147252139224,1.9914216666666666
14,40144.04,40402.18,2.143250607951809,2.1631279666666665
15,38349.01,40074.03933333333,2.005029115919547,2.1378603666666667
16,38092.97,38496.813,1.9853134394016387,2.016410233333333
17,35819.84,38122.024666666664,1.8102771334996213,1.9875507333333333
18,35483.72,36636.53166666667,1.784395110412607,1.8731643333333334
19,35600.16,36049.26266666667,1.793361261692662,1.8279432
20,31608.93,35687.41266666667,1.486027252988669,1.8000799
21,32509.56,32287.065666666665,1.5553778612620777,1.5382452333333332
22,33678.07,32406.947333333334,1.6453558536380375,1.5474764333333333
23,34663.09,33623.12233333333,1.721204688521922,1.6411247333333332
24,31584.45,34260.86633333333,1.4841422359555554,1.6902325999999999
25,32283.65,32238.967999999997,1.537982264940563,1.5345416333333333
26,34700.34,31789.376,1.7240730253063778,1.4999220333333334
27,34494.89,34016.96833333333,1.708252896652245,1.6714518333333335
28,35911.73,34461.176,1.8173528775834784,1.7056567666666667
29,35045.0,35405.967666666664,1.7506126482897486,1.778407966666667
30,33504.69,35238.44266666667,1.5606587221155446,1.6912415666666665
31,33786.55,33747.371,1.5818878654111703,1.5789369666666666
32,34669.13,34494.556333333334,1.6483620628490947,1.6352134666666667
33,35286.51,35139.81,1.6948619155697842,1.6838127666666667
34,33690.14,35167.74566666666,1.5746264529896443,1.6859167
35,34220.01,34040.05866666667,1.6145352238618975,1.6009816333333333
36,33862.12,34373.836,1.5875796498390795,1.6261210666666666
37,32875.71,34472.90666666667,1.513285180108581,1.6335828666666667
38,33815.81,33288.99733333334,1.5840916713177549,1.5444131333333333
39,33502.87,33762.140666666666,1.56052164327925,1.5800494
40,34258.99,33493.863333333335,1.6174711211359465,1.5598432666666666
41,33086.63,34034.074,1.529171261510388,1.6005309
42,32729.77,33705.685000000005,1.502293265070748,1.5757972333333334
43,32820.02,32927.193333333336,1.509090718354045,1.5171627666666667
44,31880.0,32945.19700000001,1.4382902525882248,1.5185187666666666
45,31383.87,32187.794666666665,1.400922712450359,1.4614727333333333
46,31520.07,31692.538333333334,1.4111810297598897,1.424171033333333
47,31778.56,31683.078333333335,1.4306499904158403,1.4234584333333336
48,30839.65,31888.641666666666,1.3599331276765512,1.4389411666666667
49,29790.35,31432.254,1.2809019062896916,1.4045669333333333
50,32144.51,30426.261333333332,1.458212627856535,1.3287974666666666
51,32287.83,31994.666666666668,1.4690072096245377,1.446926666666667
52,33634.09,32687.65133333333,1.5704048767400172,1.499120966666667
53,34258.14,33822.32633333333,1.6174071008003144,1.5845823666666667
54,35381.02,34714.25666666666,1.7019802237116612,1.6517608333333333
55,37237.6,35515.15,1.841814193979855,1.7120826333333332
56,39457.87,37493.937333333335,2.009040582914004,1.8611210666666667
57,40019.56,39680.65233333334,2.051345973880157,2.0258200666666664
58,40016.48,40307.25033333334,2.0511139943110432,2.0730142666666667
59,42206.37,40326.049,2.2160522211316565,2.0744301333333333
60,41461.83,42146.44166666667,2.159974926200395,2.2115384666666666
