TIMESTAMP,SHREK36059_OPEN_PRICE_USD,SHREK36059_HIGH_PRICE_USD,SHREK36059_LOW_PRICE_USD,SHREK36059_CLOSE_PRICE_USD,SHREK36059_VOLUME_USD,SHREK36059_DIVIDENDS_USD,SHREK36059_STOCK_SPLITS_USD
2025-04-02 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,231,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,109,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,153,0.0,0.0
2025-06-01 00:00:00+00:00,1.028639995989504e-13,1.0309399953731604e-13,1.0001800277749384e-13,1.0182723127151114e-13,11,0.0,0.0
