TIMESTAMP,TEX35657_OPEN_PRICE_USD,TEX35657_HIGH_PRICE_USD,TEX35657_LOW_PRICE_USD,TEX35657_CLOSE_PRICE_USD,TEX35657_VOLUME_USD,TEX35657_DIVIDENDS_USD,TEX35657_STOCK_SPLITS_USD
2025-03-24 00:00:00+00:00,5.8000001445179805e-05,5.900000178371556e-05,4.8000001697801054e-05,5.700000110664405e-05,108103,0.0,0.0
2025-03-25 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,4.5000000682193786e-05,4.8999998398358e-05,104271,0.0,0.0
2025-03-26 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,4.70000013592653e-05,4.8000001697801054e-05,96445,0.0,0.0
2025-03-27 00:00:00+00:00,4.8000001697801054e-05,5.900000178371556e-05,4.5000000682193786e-05,5.199999941396527e-05,93619,0.0,0.0
2025-03-28 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.3000000005122274e-05,4.400000034365803e-05,72449,0.0,0.0
2025-03-29 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,4.099999932805076e-05,4.3000000005122274e-05,52571,0.0,0.0
2025-03-30 00:00:00+00:00,4.3000000005122274e-05,4.8999998398358e-05,4.199999966658652e-05,4.8000001697801054e-05,71752,0.0,0.0
2025-03-31 00:00:00+00:00,4.8000001697801054e-05,5.199999941396527e-05,4.600000102072954e-05,5.0999999075429514e-05,89962,0.0,0.0
2025-04-01 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,5.0999999075429514e-05,5.199999941396527e-05,93152,0.0,0.0
2025-04-02 00:00:00+00:00,5.199999941396527e-05,5.999999848427251e-05,5.0999999075429514e-05,5.6000000768108293e-05,107395,0.0,0.0
2025-04-03 00:00:00+00:00,5.6000000768108293e-05,6.399999983841553e-05,5.500000042957254e-05,6.399999983841553e-05,146337,0.0,0.0
2025-04-04 00:00:00+00:00,6.399999983841553e-05,7.100000220816582e-05,6.299999949987978e-05,7.000000186963007e-05,174568,0.0,0.0
2025-04-05 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.900000153109431e-05,7.000000186963007e-05,207176,0.0,0.0
2025-04-06 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,6.70000008540228e-05,6.900000153109431e-05,199140,0.0,0.0
2025-04-07 00:00:00+00:00,6.900000153109431e-05,7.899999764049426e-05,5.900000178371556e-05,7.599999662488699e-05,189410,0.0,0.0
2025-04-08 00:00:00+00:00,7.599999662488699e-05,8.099999831756577e-05,7.300000288523734e-05,7.400000322377309e-05,220245,0.0,0.0
2025-04-09 00:00:00+00:00,7.400000322377309e-05,8.600000001024455e-05,7.100000220816582e-05,8.399999933317304e-05,221441,0.0,0.0
2025-04-10 00:00:00+00:00,8.399999933317304e-05,8.499999967170879e-05,7.899999764049426e-05,8.399999933317304e-05,237800,0.0,0.0
2025-04-11 00:00:00+00:00,8.399999933317304e-05,8.800000068731606e-05,8.399999933317304e-05,8.70000003487803e-05,256526,0.0,0.0
2025-04-12 00:00:00+00:00,8.70000003487803e-05,9.300000237999484e-05,8.600000001024455e-05,9.200000204145908e-05,268271,0.0,0.0
2025-04-13 00:00:00+00:00,9.200000204145908e-05,9.600000339560211e-05,9.000000136438757e-05,9.100000170292333e-05,278427,0.0,0.0
2025-04-14 00:00:00+00:00,9.100000170292333e-05,9.40000027185306e-05,9.000000136438757e-05,9.100000170292333e-05,275905,0.0,0.0
2025-04-15 00:00:00+00:00,9.100000170292333e-05,9.40000027185306e-05,8.900000102585182e-05,8.900000102585182e-05,267390,0.0,0.0
2025-04-16 00:00:00+00:00,8.900000102585182e-05,9.100000170292333e-05,8.800000068731606e-05,8.900000102585182e-05,264341,0.0,0.0
2025-04-17 00:00:00+00:00,8.900000102585182e-05,9.100000170292333e-05,8.800000068731606e-05,8.800000068731606e-05,267150,0.0,0.0
2025-04-18 00:00:00+00:00,8.800000068731606e-05,9.000000136438757e-05,8.800000068731606e-05,8.900000102585182e-05,258221,0.0,0.0
2025-04-19 00:00:00+00:00,8.900000102585182e-05,0.00010099999781232327,8.800000068731606e-05,0.00010099999781232327,282338,0.0,0.0
2025-04-20 00:00:00+00:00,0.00010099999781232327,0.00010099999781232327,9.7999996796716e-05,9.999999747378752e-05,295919,0.0,0.0
2025-04-21 00:00:00+00:00,9.999999747378752e-05,0.00010299999848939478,9.899999713525176e-05,9.999999747378752e-05,298525,0.0,0.0
2025-04-22 00:00:00+00:00,9.999999747378752e-05,0.00010800000018207356,9.999999747378752e-05,0.00010699999984353781,292749,0.0,0.0
2025-04-23 00:00:00+00:00,0.00010699999984353781,0.00011100000119768083,0.00010599999950500205,0.00010699999984353781,285073,0.0,0.0
2025-04-24 00:00:00+00:00,0.00010699999984353781,0.00010800000018207356,0.00010199999815085903,0.00010599999950500205,218704,0.0,0.0
2025-04-25 00:00:00+00:00,0.00010599999950500205,0.00010699999984353781,0.00010399999882793054,0.0001049999991664663,321554,0.0,0.0
2025-04-26 00:00:00+00:00,0.0001049999991664663,0.00010800000018207356,0.0001049999991664663,0.0001049999991664663,324983,0.0,0.0
2025-04-27 00:00:00+00:00,0.0001049999991664663,0.00011000000085914508,0.00010399999882793054,0.00010900000052060932,310686,0.0,0.0
2025-04-28 00:00:00+00:00,0.00010900000052060932,0.00011300000187475234,0.00010699999984353781,0.00011100000119768083,313333,0.0,0.0
2025-04-29 00:00:00+00:00,0.00011100000119768083,0.00011200000153621659,0.00010699999984353781,0.00010800000018207356,304244,0.0,0.0
2025-04-30 00:00:00+00:00,0.00010800000018207356,0.00010900000052060932,0.00010299999848939478,0.00010599999950500205,316924,0.0,0.0
2025-05-01 00:00:00+00:00,0.00010599999950500205,0.00010900000052060932,0.00010599999950500205,0.00010699999984353781,324894,0.0,0.0
2025-05-02 00:00:00+00:00,0.00010699999984353781,0.00010800000018207356,0.00010599999950500205,0.00010800000018207356,0,0.0,0.0
2025-05-03 00:00:00+00:00,0.00010800000018207356,0.00010800000018207356,0.0001049999991664663,0.0001049999991664663,0,0.0,0.0
2025-05-04 00:00:00+00:00,0.0001049999991664663,0.0001049999991664663,0.0001049999991664663,0.0001049999991664663,0,0.0,0.0
2025-05-05 00:00:00+00:00,0.0001049999991664663,0.0001049999991664663,0.00010199999815085903,0.00010299999848939478,0,0.0,0.0
