TIMESTAMP,CONAN_OPEN_PRICE_USD,CONAN_HIGH_PRICE_USD,CONAN_LOW_PRICE_USD,CONAN_CLOSE_PRICE_USD,CONAN_VOLUME_USD,CONAN_DIVIDENDS_USD,CONAN_STOCK_SPLITS_USD
2024-04-24 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.099999983329326e-05,2.2000000171829015e-05,1972456,0.0,0.0
2024-04-25 00:00:00+00:00,2.099999983329326e-05,2.5999999706982635e-05,1.9999999494757503e-05,2.099999983329326e-05,1080200,0.0,0.0
2024-04-26 00:00:00+00:00,2.099999983329326e-05,2.5999999706982635e-05,1.5999999959603883e-05,1.700000029813964e-05,1546867,0.0,0.0
2024-04-27 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,7.000000096013537e-06,1.1000000085914508e-05,3051865,0.0,0.0
2024-04-28 00:00:00+00:00,1.1000000085914508e-05,1.9999999494757503e-05,1.1000000085914508e-05,1.5999999959603883e-05,1656431,0.0,0.0
2024-04-29 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.2999999853491317e-05,1.4999999621068127e-05,541932,0.0,0.0
2024-04-30 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2999999853491317e-05,699242,0.0,0.0
2024-05-01 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.4000000192027073e-05,687269,0.0,0.0
2024-05-02 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,444400,0.0,0.0
2024-05-03 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2999999853491317e-05,1118264,0.0,0.0
2024-05-04 00:00:00+00:00,1.2999999853491317e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,576831,0.0,0.0
2024-05-05 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,521572,0.0,0.0
2024-05-06 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2999999853491317e-05,863263,0.0,0.0
