TIMESTAMP,WBB_CLOSE_PRICE_USD,WBB_OPEN_PRICE_USD,WBB_HIGH_PRICE_USD,WBB_LOW_PRICE_USD
2018-03-02,0.494157,0.429906,0.517213,0.410449
2018-03-03,0.478216,0.494157,0.51438,0.463204
2018-03-04,0.463176,0.478216,0.479093,0.436233
2018-03-05,0.445089,0.463176,0.467263,0.443624
2018-03-06,0.424137,0.445089,0.447049,0.414709
2018-03-07,0.399506,0.424137,0.43046,0.370318
2018-03-08,0.393714,0.399506,0.409531,0.359443
2018-03-09,0.366863,0.393714,0.398832,0.347664
2018-03-10,0.542991,0.366863,0.72818,0.313626
2018-03-11,0.347932,0.542991,0.662167,0.327167
2018-03-12,0.244277,0.347932,0.35102,0.224911
2018-03-13,0.278569,0.244277,0.31559,0.239948
2018-03-14,0.267761,0.278569,0.294243,0.250812
2018-03-15,0.212505,0.267761,0.273246,0.209752
2018-03-16,0.247886,0.212505,0.25447,0.203486
2018-03-17,0.24575,0.247886,0.260467,0.242192
2018-03-18,0.256361,0.24575,0.258121,0.228707
2018-03-19,0.271758,0.256361,0.272484,0.253144
2018-03-20,0.284094,0.271758,0.288196,0.262701
2018-03-21,0.284443,0.284094,0.292942,0.279958
2018-03-22,0.268349,0.284443,0.290387,0.261023
2018-03-23,0.275973,0.268349,0.275997,0.254695
2018-03-24,0.25387,0.275973,0.276712,0.25359
2018-03-25,0.236593,0.25387,0.256466,0.23034
2018-03-26,0.224285,0.236593,0.245534,0.216623
2018-03-27,0.198685,0.224285,0.22653,0.18492
2018-03-28,0.196855,0.198685,0.201308,0.187535
2018-03-29,0.141418,0.196855,0.197153,0.137391
2018-03-30,0.136329,0.141418,0.144578,0.131044
2018-03-31,0.137985,0.136329,0.143894,0.135351
2018-04-01,0.13433,0.137985,0.14007,0.128185
2018-04-02,0.146202,0.13433,0.146873,0.133629
2018-04-03,0.154832,0.146202,0.155546,0.145525
2018-04-04,0.134069,0.154832,0.162204,0.132282
2018-04-05,0.13909,0.134069,0.142401,0.128891
2018-04-06,0.123256,0.13909,0.140534,0.118544
2018-04-07,0.119705,0.123256,0.128358,0.117901
2018-04-08,0.119494,0.119705,0.122628,0.118975
2018-04-09,0.116695,0.119494,0.124546,0.113756
2018-04-10,0.113064,0.116734,0.118238,0.106596
