TIMESTAMP,COINAI_OPEN_PRICE_USD,COINAI_HIGH_PRICE_USD,COINAI_LOW_PRICE_USD,COINAI_CLOSE_PRICE_USD,COINAI_VOLUME_USD,COINAI_DIVIDENDS_USD,COINAI_STOCK_SPLITS_USD
2025-04-19 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-06-01 00:00:00+00:00,1.7869600655966156e-13,1.7869600655966156e-13,1.7869558643131972e-13,1.7869558643131972e-13,26,0.0,0.0
