TIMESTAMP,BTC_MINING_DIFFICULTY_HASHES_PER_BLOCKCHAIN,BTC_ESTIMATED_TRANSACTION_VOLUME_USD_PER_BLOCKCHAIN,BTC_HASH_RATE_TERAHASHES_PER_SECOND_PER_BLOCKCHAIN,BTC_MINERS_REVENUE_USD_PER_BLOCKCHAIN,BTC_MY_WALLET_TRANSACTION_COUNT_PER_BLOCKCHAIN,BTC_MY_WALLET_USER_COUNT_PER_BLOCKCHAIN,BTC_MY_WALLET_TRANSACTION_VOLUME_USD_PER_BLOCKCHAIN,BTC_UNIQUE_ADDRESSES_USED_COUNT_PER_BLOCKCHAIN,BTC_TOTAL_CONFIRMED_TRANSACTION_COUNT_PER_BLOCKCHAIN,BTC_TOTAL_TRANSACTION_COUNT_PER_BLOCKCHAIN,BTC_TRANSACTION_COUNT_EXCLUDING_POPULAR_ADDRESSES_PER_BLOCKCHAIN,BTC_CUMULATIVE_DAYS_DESTROYED_PER_BLOCKCHAIN,BTC_DAYS_DESTROYED_PER_BLOCKCHAIN,BTC_MINIMUM_AGE_1_MONTH_DAYS_DESTROYED_PER_BLOCKCHAIN,BTC_MINIMUM_AGE_1_WEEK_DAYS_DESTROYED_PER_BLOCKCHAIN,BTC_MINIMUM_AGE_1_YEAR_DAYS_DESTROYED_PER_BLOCKCHAIN,BTC_NETWORK_DEFICIT_PER_BLOCKCHAIN,BTC_TRADE_VOLUME_VS_TRANSACTION_VOLUME_RATIO_PER_BLOCKCHAIN,BTC_MEMPOOL_SIZE_BYTES_PER_BLOCKCHAIN,BTC_MEMPOOL_SIZE_GROWTH_BYTES_PER_SECOND_PER_BLOCKCHAIN,BTC_AVERAGE_TRANSACTION_CONFIRMATION_TIME_MINUTES_PER_BLOCKCHAIN,BTC_MEDIAN_TRANSACTION_CONFIRMATION_TIME_MINUTES_PER_BLOCKCHAIN,BTC_AVERAGE_TRANSACTION_COUNT_PER_BLOCK_PER_BLOCKCHAIN,BTC_AVERAGE_BLOCK_SIZE_MEGABYTES_PER_BLOCKCHAIN,BTC_BLOCKCHAIN_SIZE_MEGABYTES_PER_BLOCKCHAIN,BTC_COST_PER_TRANSACTION_USD_PER_BLOCKCHAIN,BTC_COST_PERCENTAGE_OF_TRADE_VOLUME_PER_BLOCKCHAIN,BTC_TOTAL_ESTIMATED_TRANSACTION_VALUE_BTC_PER_BLOCKCHAIN,BTC_TOTAL_TRANSACTION_FEES_USD_PER_BLOCKCHAIN,BTC_TOTAL_OUTPUT_VALUE_BTC_PER_BLOCKCHAIN,BTC_TOTAL_TRANSACTION_COUNT_PER_SECOND_PER_BLOCKCHAIN,BTC_TOTAL_UNCONFIRMED_TRANSACTION_COUNT_IN_MEMPOOL_PER_BLOCKCHAIN,BTC_TOTAL_UNSPENT_TRANSACTION_OUTPUT_COUNT_PER_BLOCKCHAIN,BTC_ACTIVE_ADDRESS_COUNT_PER_BIC,BTC_AVERAGE_BLOCK_TIME_MINUTES_PER_BIC,BTC_AVERAGE_FEE_PERCENTAGE_IN_TOTAL_BLOCK_REWARD_PER_BIC,BTC_AVERAGE_TRANSACTION_FEE_USD_PER_BIC,BTC_AVERAGE_TRANSACTION_VALUE_USD_PER_BIC,BTC_MEDIAN_TRANSACTION_FEE_USD_PER_BIC,BTC_MEDIAN_TRANSACTION_VALUE_USD_PER_BIC,BTC_MINING_PROFITABILITY_PER_BIC,BTC_SENT_COINS_USD_PER_BIC,BTC_SENT_FROM_UNIQUE_ADDRESS_COUNT_PER_BIC,BTC_TOP_100_RICHEST_PERCENTAGE_OF_TOTAL_COINS_PER_BIC
2009-01-02,1.0,0.0,,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-03,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,285.0,,,,,100.0,,,,,,,,,,,,,,
2009-01-04,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
2009-01-05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
2009-01-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
2009-01-07,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
2009-01-08,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,14.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,
2009-01-09,1.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,31.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,715.0,,,,,700.0,,,,14.0,102.857,,,,,,,,1.0,100.0
2009-01-10,1.0,0.0,0.0,0.0,0.0,2.0,0.0,106.0,106.0,152.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,3725.0,,,,,3000.0,,,,61.0,23.607,,,,,,,,,100.0
2009-01-11,1.0,0.0,0.0,0.0,0.0,2.0,0.0,93.0,95.0,77.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,16639.0,,,,,4650.0,,,,93.0,15.484,,,,,,,,1.0,59.524
2009-01-12,1.0,0.0,0.0,0.0,0.0,2.0,0.0,117.0,116.0,363.0,101.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,36672.0,,,,,4879.0,,,,102.0,15.319,,,,,,,,7.0,38.168
2009-01-13,1.0,0.0,0.0,0.0,0.0,2.0,0.0,126.0,126.0,489.0,126.0,168.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,58704.0,,,,,6150.0,,,,123.0,11.707,,,,,,,,10.0,25.974
2009-01-14,1.0,0.0,0.0,0.0,0.0,2.0,0.0,130.0,136.0,394.0,136.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,85231.0,,,,,6511.0,,,,133.0,11.163,,,,,,,,20.0,19.498
2009-01-15,1.0,0.0,0.0,0.0,0.0,2.0,0.0,117.0,117.0,742.0,134.0,918.0,750.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,113507.0,,,,,6800.0,,,,140.0,11.429,,,,,,,,18.0,16.284
2009-01-16,1.0,0.0,0.0,0.0,0.0,2.0,0.0,109.0,109.0,851.0,109.0,1082.0,164.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,143568.0,,,,,5600.0,,,,114.0,13.333,,,,,,,,16.0,14.201
