TIMESTAMP,BONG_OPEN_PRICE_USD,BONG_HIGH_PRICE_USD,BONG_LOW_PRICE_USD,BONG_CLOSE_PRICE_USD,BONG_VOLUME_USD,BONG_DIVIDENDS_USD,BONG_STOCK_SPLITS_USD
2024-01-12 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,4.999999873689376e-06,6.000000212225132e-06,1343434,0.0,0.0
2024-01-13 00:00:00+00:00,6.000000212225132e-06,9.999999747378752e-06,4.999999873689376e-06,6.000000212225132e-06,691421,0.0,0.0
2024-01-14 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,407457,0.0,0.0
2024-01-15 00:00:00+00:00,6.000000212225132e-06,3.7999998312443495e-05,4.999999873689376e-06,3.7000001611886546e-05,2395472,0.0,0.0
2024-01-16 00:00:00+00:00,3.7000001611886546e-05,6.500000017695129e-05,2.5999999706982635e-05,4.600000102072954e-05,4664758,0.0,0.0
2024-01-17 00:00:00+00:00,4.600000102072954e-05,4.8000001697801054e-05,2.4000000848900527e-05,2.9999999242136255e-05,2677247,0.0,0.0
2024-01-18 00:00:00+00:00,2.9999999242136255e-05,4.600000102072954e-05,2.5999999706982635e-05,3.400000059627928e-05,1934194,0.0,0.0
2024-01-19 00:00:00+00:00,3.400000059627928e-05,3.7999998312443495e-05,2.099999983329326e-05,2.4000000848900527e-05,1863226,0.0,0.0
2024-01-20 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,1.2999999853491317e-05,1.4000000192027073e-05,1733319,0.0,0.0
2024-01-21 00:00:00+00:00,1.4000000192027073e-05,2.4000000848900527e-05,9.000000318337698e-06,1.2999999853491317e-05,1088567,0.0,0.0
2024-01-22 00:00:00+00:00,1.2999999853491317e-05,1.9999999494757503e-05,9.999999747378752e-06,1.2000000424450263e-05,893675,0.0,0.0
2024-01-23 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,521504,0.0,0.0
2024-01-24 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,514364,0.0,0.0
2024-01-25 00:00:00+00:00,7.000000096013537e-06,1.9999999494757503e-05,4.999999873689376e-06,1.8000000636675395e-05,867450,0.0,0.0
2024-01-26 00:00:00+00:00,1.700000029813964e-05,2.099999983329326e-05,9.000000318337698e-06,9.000000318337698e-06,1153305,0.0,0.0
2024-01-27 00:00:00+00:00,9.000000318337698e-06,1.2999999853491317e-05,7.999999979801942e-06,7.999999979801942e-06,327004,0.0,0.0
2024-01-28 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,4.999999873689376e-06,4.999999873689376e-06,304595,0.0,0.0
2024-01-29 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,195467,0.0,0.0
2024-01-30 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,156047,0.0,0.0
2024-01-31 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,138732,0.0,0.0
2024-02-01 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,87977,0.0,0.0
2024-02-02 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,100229,0.0,0.0
2024-02-03 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,99318,0.0,0.0
2024-02-04 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,69764,0.0,0.0
2024-02-05 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,102098,0.0,0.0
2024-02-06 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,117152,0.0,0.0
2024-02-07 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,146608,0.0,0.0
