,close,labels
0,37161.57315307617,36693.09
1,36636.35662445068,37568.68
2,37476.62219970703,39246.79
3,39218.77532867432,36829.0
4,36692.93098449707,35513.2
5,35419.39612884521,35796.31
6,35633.668276367185,33552.79
7,33377.28014282227,33380.81
8,33175.62649780273,37388.05
9,37243.100765991214,36675.72
10,36464.809477539064,37331.98
11,37217.29688690186,35546.11
12,35382.94027648926,39020.57
13,38868.331962890625,40516.29
14,40403.947180786134,40144.04
15,40026.9625692749,38349.01
16,38269.121991882326,38092.97
17,38069.78970214844,35819.84
18,35880.26684936523,35483.72
19,35449.66160079956,35600.16
20,35595.91203800202,31608.93
21,31600.685849838257,32509.56
22,32564.482019958497,33678.07
23,33658.3683417511,34663.09
24,34657.83612951278,31584.45
25,31573.198145103455,32283.65
26,32251.06321563721,34700.34
27,34745.296600189205,34494.89
28,34539.65273727417,35911.73
29,35937.734222869876,35045.0
30,35040.10466718674,33504.69
31,33495.29748577118,33786.55
32,33751.8407447815,34669.13
33,34655.53000915527,35286.51
34,35278.93631053925,33690.14
35,33722.5155569458,34220.01
36,34214.40282035828,33862.12
37,33908.498986358645,32875.71
38,32945.24012084961,33815.81
39,33828.49780612945,33502.87
40,33500.10367285729,34258.99
41,34238.1007673645,33086.63
42,33071.263026123044,32729.77
43,32670.047210235596,32820.02
44,32751.0562701416,31880.0
45,31778.855918884277,31383.87
46,31323.255440826415,31520.07
47,31453.864784545898,31778.56
48,31776.152645645143,30839.65
49,30811.60396232605,29790.35
50,29757.78717575073,32144.51
51,32189.62909484863,32287.83
52,32315.845604019167,33634.09
53,33664.738216247555,34258.14
54,34250.549756183624,35381.02
55,35406.18037368774,37237.6
56,37255.201902008055,39457.87
57,39446.34586536408,40019.56
58,40025.877779064176,40016.48
59,39978.213688354495,42206.37
60,42186.05277168274,41461.83
61,41462.92219622612,39845.44
62,39829.39820999146,39147.82
63,39130.41942817688,38207.05
64,38185.18143348694,39723.18
65,39725.64274089813,40862.46
66,40834.90711494446,42836.87
67,42834.710964317324,44572.54
68,44588.79836753845,43794.37
69,43796.11958717823,46253.4
70,46249.08625545502,45584.99
71,45585.84171920061,45511.0
72,45537.14842033386,44399.0
73,44432.65156555176,47800.0
74,47827.7446308136,47068.51
75,47137.48772216797,46973.82
76,47058.03446990967,45901.29
77,45992.455214538575,44695.95
78,44771.628840637204,44705.29
79,44810.014716186524,46760.62
80,46892.22978698731,49322.47
81,49440.530737609864,48821.87
82,48945.754902954104,49239.22
83,49350.990431518556,49488.85
84,49618.57343444824,47674.01
85,47775.577588806154,48973.32
86,49046.79708129883,46843.87
87,46882.098469848635,49069.9
88,49109.175329589845,48895.35
89,48938.50563583374,48767.83
90,48805.61890228272,46982.91
91,47036.47454467774,47100.89
92,47204.90287078857,48810.52
93,48910.66955902099,49246.64
94,49371.61053527832,49999.14
95,50095.923752441406,49915.64
96,50005.674271240234,51756.88
97,51819.19973266601,52663.9
98,52723.13709869385,46863.73
99,46941.40540740967,46048.31
100,46088.09982925415,46395.14
101,46431.50912918091,44850.91
102,44881.221897277836,45173.69
103,45199.6968359375,46025.24
104,46028.95261167526,44940.73
105,44976.864315490726,47111.52
106,47159.486045379635,48121.41
107,48163.44863906861,47737.82
108,47805.92250854492,47299.98
109,47357.269756774906,48292.74
110,48316.15125297546,47241.75
111,47227.26564693451,43015.62
112,43019.046391601565,40734.38
