,Frequency,ADF TS,ADF P-Val.,ADF CV (1\%),ADF CV (5\%),ADF CV (10\%),ADF_Determination,KPSS TS,KPSS P-Val,KPSS CV (1\%),KPSS CV (2.5\%),KPSS CV (5\%),KPSS CV (10\%),KPSS_Determination
0,12_Hour,-2.560,0.102,-3.432,-2.862,-2.567,Non-Stationary,2.928,0.010,0.739,0.574,0.463,0.347,Non-Stationary
1,1_Day,-3.056,0.030,-3.433,-2.863,-2.567,Stationary,1.123,0.010,0.739,0.574,0.463,0.347,Non-Stationary
2,1_Hour,-2.307,0.170,-3.431,-2.862,-2.567,Non-Stationary,10.911,0.010,0.739,0.574,0.463,0.347,Non-Stationary
3,2_Hour,-2.487,0.119,-3.431,-2.862,-2.567,Non-Stationary,7.427,0.010,0.739,0.574,0.463,0.347,Non-Stationary
4,4_Hour,-2.517,0.111,-3.431,-2.862,-2.567,Non-Stationary,5.511,0.010,0.739,0.574,0.463,0.347,Non-Stationary
5,6_Hour,-2.434,0.132,-3.431,-2.862,-2.567,Non-Stationary,4.180,0.010,0.739,0.574,0.463,0.347,Non-Stationary
6,8_Hour,-2.505,0.114,-3.432,-2.862,-2.567,Non-Stationary,3.855,0.010,0.739,0.574,0.463,0.347,Non-Stationary
