TIMESTAMP,WAVES_CLOSE_PRICE_USD,WAVES_OPEN_PRICE_USD,WAVES_HIGH_PRICE_USD,WAVES_LOW_PRICE_USD
2017-08-28,5.2557,5.2565,5.3179,5.0505
2017-08-29,5.4032,5.2557,5.4547,5.1058
2017-08-30,5.4135,5.4032,5.4357,5.0998
2017-08-31,5.827,5.4135,5.8538,5.2944
2017-09-01,5.6808,5.827,6.1116,5.6558
2017-09-02,5.0743,5.6808,5.7848,4.952
2017-09-03,5.1396,5.0743,5.4328,4.8833
2017-09-04,4.6015,5.1396,5.1396,4.1306
2017-09-05,5.014,4.6015,5.2008,4.2772
2017-09-06,5.1747,5.014,5.2739,4.9212
2017-09-07,5.003,5.1747,5.1964,4.9257
2017-09-08,4.4196,5.003,5.036,4.2597
2017-09-09,4.3866,4.4196,4.4925,4.3322
2017-09-10,4.4878,4.3866,4.4922,3.9542
2017-09-11,4.3467,4.4878,4.4922,4.1398
2017-09-12,4.2858,4.3467,4.5634,4.1812
2017-09-13,3.9345,4.2858,4.3047,3.763
2017-09-14,3.0431,3.9345,3.9737,3.0374
2017-09-15,3.8198,3.0431,3.88,2.72
2017-09-16,3.7357,3.8198,3.889,3.4393
2017-09-17,3.6725,3.7357,3.8066,3.5472
2017-09-18,4.3459,3.6725,4.3536,3.6579
2017-09-19,4.1959,4.3459,4.3459,4.0454
2017-09-20,4.1206,4.1959,4.2484,4.0161
2017-09-21,3.636,4.1206,4.1206,3.5303
2017-09-22,3.7603,3.636,3.777,3.5696
2017-09-23,3.9198,3.7603,3.9834,3.7175
2017-09-24,4.008,3.9198,4.008,3.6984
2017-09-25,4.2526,4.008,4.2727,3.9269
2017-09-26,4.8319,4.2245,5.0038,4.1853
2017-09-27,5.2037,4.8319,5.206,0.5807
2017-09-28,4.7432,5.2037,5.2424,4.5909
2017-09-29,4.9202,4.7432,5.0111,4.3339
2017-09-30,5.0879,4.9202,5.1672,4.9001
2017-10-01,4.966,5.0879,5.0996,4.8297
2017-10-02,4.8552,4.966,5.0043,4.7734
2017-10-03,4.6734,4.8552,4.9918,4.6268
2017-10-04,4.8756,4.6734,5.0461,4.6587
2017-10-05,4.9018,4.8756,4.9797,4.7393
2017-10-06,4.9762,4.9018,5.0461,4.8788
2017-10-07,4.9204,4.9597,5.117,4.8794
2017-10-08,4.4972,4.9204,4.9878,4.47
2017-10-09,4.1289,4.4972,4.6409,3.9415
2017-10-10,4.1437,4.1289,4.2982,3.9728
2017-10-11,4.2038,4.1437,4.4785,4.0976
2017-10-12,3.7159,4.2038,4.2218,3.7159
2017-10-13,4.0006,3.7159,4.0616,3.6002
2017-10-14,3.9728,4.0006,4.0886,3.8166
2017-10-15,3.8231,3.9728,4.0042,3.6913
2017-10-16,4.0525,3.8231,4.1663,3.6868
2017-10-17,3.9124,4.0525,4.0705,3.8619
2017-10-18,4.0831,3.9124,4.1117,3.6523
2017-10-19,3.9296,4.0831,4.1162,3.8422
2017-10-20,3.6747,3.9296,3.9757,3.5337
2017-10-21,3.6143,3.6747,3.7179,3.4364
2017-10-22,3.5813,3.6143,3.6409,3.5041
2017-10-23,3.568,3.5813,3.6409,3.3934
2017-10-24,3.747,3.568,3.9208,3.568
2017-10-25,3.5943,3.747,3.7657,3.5183
2017-10-26,3.6376,3.5943,3.7595,3.5381
2017-10-27,3.5459,3.6376,3.6526,3.5337
2017-10-28,3.468,3.5459,3.5657,3.4605
2017-10-29,3.5345,3.468,3.5964,3.4442
2017-10-30,3.4522,3.5345,3.591,3.422
2017-10-31,3.2367,3.4522,3.4848,3.1519
2017-11-01,2.9037,3.2367,3.2506,2.7686
2017-11-02,3.1698,2.9037,3.8021,2.75
2017-11-03,3.727,3.1698,4.0055,3.0099
2017-11-04,3.6152,3.727,3.763,3.477
2017-11-05,3.4912,3.6152,3.6301,3.3939
2017-11-06,3.5832,3.4912,3.6475,3.3813
2017-11-07,3.6289,3.5832,3.6582,3.4264
2017-11-08,4.4171,3.6289,4.7354,3.6289
2017-11-09,4.8523,4.4171,5.1639,4.4082
2017-11-10,4.23,4.8118,5.0079,4.12
2017-11-11,4.0537,4.23,4.4834,4.0537
