TIMESTAMP,CPX33933_OPEN_PRICE_USD,CPX33933_HIGH_PRICE_USD,CPX33933_LOW_PRICE_USD,CPX33933_CLOSE_PRICE_USD,CPX33933_VOLUME_USD,CPX33933_DIVIDENDS_USD,CPX33933_STOCK_SPLITS_USD
2024-11-13 00:00:00+00:00,,,,0.0,1160936,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,59174,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,17492,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,3461,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,4025,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,1273,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,692,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,662,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,822,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,1929,0.0,0.0
2024-11-23 00:00:00+00:00,,,,0.0,756,0.0,0.0
2024-11-24 00:00:00+00:00,,,,0.0,543,0.0,0.0
2024-11-26 00:00:00+00:00,,,,0.0,308,0.0,0.0
2024-11-27 00:00:00+00:00,,,,0.0,57,0.0,0.0
2024-11-28 00:00:00+00:00,,,,0.0,4426,0.0,0.0
2024-11-29 00:00:00+00:00,,,,0.0,34,0.0,0.0
2024-11-30 00:00:00+00:00,,,,0.0,47,0.0,0.0
2024-12-03 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-12-04 00:00:00+00:00,,,,0.0,745,0.0,0.0
2024-12-05 00:00:00+00:00,,,,0.0,134,0.0,0.0
2024-12-06 00:00:00+00:00,,,,0.0,669,0.0,0.0
2024-12-07 00:00:00+00:00,,,,0.0,1503,0.0,0.0
2024-12-08 00:00:00+00:00,,,,0.0,80,0.0,0.0
2024-12-11 00:00:00+00:00,,,,0.0,501,0.0,0.0
2024-12-12 00:00:00+00:00,,,,0.0,112,0.0,0.0
2024-12-13 00:00:00+00:00,,,,0.0,50,0.0,0.0
2024-12-16 00:00:00+00:00,,,,0.0,78,0.0,0.0
2024-12-17 00:00:00+00:00,,,,0.0,56,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,78,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,85,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,229,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,74,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,26,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,23,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,258,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,86,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,299,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,167,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,451,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,144,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,7300,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,5633,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,167,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,513,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,199,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,80,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,270,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,293,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,77,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,6,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,3,0.0,0.0
