TIMESTAMP,GEMAI_OPEN_PRICE_USD,GEMAI_HIGH_PRICE_USD,GEMAI_LOW_PRICE_USD,GEMAI_CLOSE_PRICE_USD,GEMAI_VOLUME_USD,GEMAI_DIVIDENDS_USD,GEMAI_STOCK_SPLITS_USD
2024-04-15 00:00:00+00:00,0.02424599975347519,0.030812999233603477,0.017576999962329865,0.018011000007390976,4342168,0.0,0.0
2024-04-16 00:00:00+00:00,0.017142999917268753,0.020431999117136,0.012653999961912632,0.01546700019389391,3338148,0.0,0.0
2024-04-17 00:00:00+00:00,0.014945999719202518,0.017448000609874725,0.012703999876976013,0.013093999586999416,387410,0.0,0.0
2024-04-18 00:00:00+00:00,0.013128000311553478,0.022752000018954277,0.011637000367045403,0.018929999321699142,885061,0.0,0.0
2024-04-19 00:00:00+00:00,0.018929999321699142,0.019398000091314316,0.016953999176621437,0.017016999423503876,238754,0.0,0.0
2024-04-20 00:00:00+00:00,0.017016999423503876,0.020333999767899513,0.015444000251591206,0.01851700060069561,313917,0.0,0.0
2024-04-21 00:00:00+00:00,0.018510999158024788,0.021904999390244484,0.01850299909710884,0.020905999466776848,203606,0.0,0.0
2024-04-22 00:00:00+00:00,0.020905999466776848,0.024389000609517097,0.016713999211788177,0.016721999272704124,557782,0.0,0.0
2024-04-23 00:00:00+00:00,0.016738999634981155,0.023941000923514366,0.01629599928855896,0.02388099953532219,567154,0.0,0.0
2024-04-24 00:00:00+00:00,0.02292799949645996,0.02292799949645996,0.019214000552892685,0.01969599910080433,282916,0.0,0.0
2024-04-25 00:00:00+00:00,0.019696999341249466,0.01989700086414814,0.017141999676823616,0.01732500083744526,127618,0.0,0.0
2024-04-26 00:00:00+00:00,0.01732500083744526,0.0173799991607666,0.014500999823212624,0.014588000252842903,163190,0.0,0.0
2024-04-27 00:00:00+00:00,0.014588000252842903,0.014725999906659126,0.013693000189960003,0.014120000414550304,68326,0.0,0.0
2024-04-28 00:00:00+00:00,0.014104999601840973,0.02642899937927723,0.014059999957680702,0.015153000131249428,616817,0.0,0.0
2024-04-29 00:00:00+00:00,0.015153000131249428,0.01564900018274784,0.01396199967712164,0.014789000153541565,94418,0.0,0.0
2024-04-30 00:00:00+00:00,0.014789000153541565,0.014941999688744545,0.010226000100374222,0.010468999855220318,168077,0.0,0.0
2024-05-01 00:00:00+00:00,0.010468999855220318,0.011277000419795513,0.010452999733388424,0.011134999804198742,82026,0.0,0.0
2024-05-02 00:00:00+00:00,0.011134999804198742,0.011615999974310398,0.010920999571681023,0.01128000020980835,72730,0.0,0.0
2024-05-03 00:00:00+00:00,0.01129399985074997,0.012838000431656837,0.011020000092685223,0.012261999770998955,103348,0.0,0.0
2024-05-04 00:00:00+00:00,0.012261999770998955,0.012374999932944775,0.011788999661803246,0.01196299958974123,54202,0.0,0.0
2024-05-05 00:00:00+00:00,0.01196299958974123,0.012097000144422054,0.011735999956727028,0.011886999942362309,25705,0.0,0.0
2024-05-06 00:00:00+00:00,0.011886999942362309,0.011969000101089478,0.010932999663054943,0.011110000312328339,63384,0.0,0.0
2024-05-07 00:00:00+00:00,0.011110000312328339,0.011714999563992023,0.010710000060498714,0.010784000158309937,53879,0.0,0.0
2024-05-08 00:00:00+00:00,0.010784000158309937,0.010809999890625477,0.009526999667286873,0.009712000377476215,57904,0.0,0.0
2024-05-09 00:00:00+00:00,0.009705999866127968,0.009755999781191349,0.008911999873816967,0.009178999811410904,56276,0.0,0.0
2024-05-10 00:00:00+00:00,0.009178999811410904,0.009204000234603882,0.0083619998767972,0.008430000394582748,38473,0.0,0.0
2024-05-11 00:00:00+00:00,0.008422000333666801,0.008434000425040722,0.008067999966442585,0.00810800027102232,35103,0.0,0.0
2024-05-12 00:00:00+00:00,0.00810800027102232,0.009700000286102295,0.006080999970436096,0.006941999774426222,670306,0.0,0.0
2024-05-13 00:00:00+00:00,0.006945000030100346,0.007135000079870224,0.006444000173360109,0.006800000090152025,82087,0.0,0.0
