TIMESTAMP,SUZUME_OPEN_PRICE_USD,SUZUME_HIGH_PRICE_USD,SUZUME_LOW_PRICE_USD,SUZUME_CLOSE_PRICE_USD,SUZUME_VOLUME_USD,SUZUME_DIVIDENDS_USD,SUZUME_STOCK_SPLITS_USD
2022-08-11 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,993829,0.0,0.0
2022-08-12 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,1.9999999949504854e-06,3.999999989900971e-06,568743,0.0,0.0
2022-08-13 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,623674,0.0,0.0
2022-08-14 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06,547037,0.0,0.0
2022-08-15 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,675685,0.0,0.0
2022-08-16 00:00:00+00:00,4.999999873689376e-06,9.000000318337698e-06,3.999999989900971e-06,7.999999979801942e-06,1770003,0.0,0.0
2022-08-17 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,2041168,0.0,0.0
2022-08-18 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,1170333,0.0,0.0
2022-08-19 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,1171069,0.0,0.0
2022-08-20 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,885107,0.0,0.0
2022-08-21 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,507712,0.0,0.0
2022-08-22 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,763411,0.0,0.0
2022-08-23 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,786293,0.0,0.0
2022-08-24 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,465092,0.0,0.0
2022-08-25 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,901658,0.0,0.0
2022-08-26 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,6.000000212225132e-06,6.000000212225132e-06,693512,0.0,0.0
2022-08-27 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,612368,0.0,0.0
2022-08-28 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,639171,0.0,0.0
