TIMESTAMP,SPC23174_OPEN_PRICE_USD,SPC23174_HIGH_PRICE_USD,SPC23174_LOW_PRICE_USD,SPC23174_CLOSE_PRICE_USD,SPC23174_VOLUME_USD,SPC23174_DIVIDENDS_USD,SPC23174_STOCK_SPLITS_USD
2023-01-06 00:00:00+00:00,0.44029098749160767,0.44030699133872986,0.4402349889278412,0.44028499722480774,44,0.0,0.0
2023-01-07 00:00:00+00:00,0.4402819871902466,0.49795401096343994,0.3399040102958679,0.4979479908943176,39,0.0,0.0
2023-01-10 00:00:00+00:00,0.5389599800109863,0.5389599800109863,3.400000059627928e-05,3.5000000934815034e-05,167735,0.0,0.0
2023-01-11 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,3.5000000934815034e-05,3.7000001611886546e-05,199767,0.0,0.0
2023-01-12 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,3.600000127335079e-05,3.600000127335079e-05,176424,0.0,0.0
2023-01-13 00:00:00+00:00,3.600000127335079e-05,4.099999932805076e-05,3.5000000934815034e-05,3.7000001611886546e-05,241278,0.0,0.0
2023-01-14 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,203992,0.0,0.0
2023-01-15 00:00:00+00:00,3.600000127335079e-05,4.199999966658652e-05,3.600000127335079e-05,3.9999998989515007e-05,204438,0.0,0.0
2023-01-16 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.600000127335079e-05,3.7000001611886546e-05,131768,0.0,0.0
2023-01-17 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.5000000934815034e-05,3.7000001611886546e-05,177162,0.0,0.0
2023-01-18 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,222628,0.0,0.0
2023-01-19 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,1.5999999959603883e-05,3.7000001611886546e-05,172026,0.0,0.0
2023-01-20 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,1.8999999156221747e-05,3.7999998312443495e-05,259682,0.0,0.0
2023-01-21 00:00:00+00:00,3.7999998312443495e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.899999865097925e-05,137083,0.0,0.0
2023-01-22 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.7000001611886546e-05,3.899999865097925e-05,112247,0.0,0.0
2023-01-23 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.7999998312443495e-05,158676,0.0,0.0
2023-01-24 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.600000127335079e-05,3.7999998312443495e-05,158671,0.0,0.0
2023-01-25 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7999998312443495e-05,3.7999998312443495e-05,241659,0.0,0.0
2023-01-26 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7999998312443495e-05,224763,0.0,0.0
2023-01-27 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7999998312443495e-05,136922,0.0,0.0
2023-01-28 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7999998312443495e-05,227283,0.0,0.0
2023-01-29 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.7000001611886546e-05,3.7000001611886546e-05,131656,0.0,0.0
2023-01-30 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.600000127335079e-05,147807,0.0,0.0
2023-01-31 00:00:00+00:00,3.600000127335079e-05,3.899999865097925e-05,3.300000025774352e-05,3.7999998312443495e-05,184478,0.0,0.0
2023-02-01 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,2.700000004551839e-05,3.7999998312443495e-05,135942,0.0,0.0
2023-02-02 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,2.499999936844688e-05,3.7000001611886546e-05,133596,0.0,0.0
2023-02-03 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,2.700000004551839e-05,2.9999999242136255e-05,55876,0.0,0.0
2023-02-04 00:00:00+00:00,2.9999999242136255e-05,3.899999865097925e-05,2.5999999706982635e-05,3.899999865097925e-05,24058,0.0,0.0
2023-02-05 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,102207,0.0,0.0
2023-02-06 00:00:00+00:00,3.600000127335079e-05,3.899999865097925e-05,2.9999999242136255e-05,3.7000001611886546e-05,122499,0.0,0.0
2023-02-07 00:00:00+00:00,3.7000001611886546e-05,3.899999865097925e-05,3.600000127335079e-05,3.7000001611886546e-05,111133,0.0,0.0
