TIMESTAMP,JAGER_OPEN_PRICE_USD,JAGER_HIGH_PRICE_USD,JAGER_LOW_PRICE_USD,JAGER_CLOSE_PRICE_USD,JAGER_VOLUME_USD,JAGER_DIVIDENDS_USD,JAGER_STOCK_SPLITS_USD
2025-05-06 00:00:00+00:00,,,,0.0,2914876,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,3504809,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,4841233,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,2843051,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,2544434,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,8257031,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,16843443,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,12559396,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,7316234,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,2774284,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,2162215,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,2869160,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,2156073,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,1976228,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,1300796,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,1897175,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,2239524,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,2804109,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,8226642,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,9858758,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,5533100,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,4627535,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,3421048,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,4280455,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,3667439,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,2691168,0.0,0.0
2025-06-01 00:00:00+00:00,1.0178080600553585e-09,1.0362114499784525e-09,9.236513220933773e-10,1.0004246320249877e-09,1796847,0.0,0.0
