TIMESTAMP,BNBDOG27881_OPEN_PRICE_USD,BNBDOG27881_HIGH_PRICE_USD,BNBDOG27881_LOW_PRICE_USD,BNBDOG27881_CLOSE_PRICE_USD,BNBDOG27881_VOLUME_USD,BNBDOG27881_DIVIDENDS_USD,BNBDOG27881_STOCK_SPLITS_USD
2023-08-21 00:00:00+00:00,,,,0.0,44557,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,8382,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,6602,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,1411,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,124,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,1743,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,1213,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,1303,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,813,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,981,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,691,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,2026,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,1730,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,2496,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,1375,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,2216,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,1241,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,1349,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,1283,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,1700,0.0,0.0
2023-09-10 00:00:00+00:00,,,,0.0,783,0.0,0.0
2023-09-11 00:00:00+00:00,,,,0.0,1316,0.0,0.0
2023-09-12 00:00:00+00:00,,,,0.0,1943,0.0,0.0
2023-09-13 00:00:00+00:00,,,,0.0,1346,0.0,0.0
2023-09-14 00:00:00+00:00,,,,0.0,1273,0.0,0.0
2023-09-15 00:00:00+00:00,,,,0.0,1311,0.0,0.0
2023-09-16 00:00:00+00:00,,,,0.0,1681,0.0,0.0
2023-09-17 00:00:00+00:00,,,,0.0,1478,0.0,0.0
2023-09-21 00:00:00+00:00,,,,0.0,808,0.0,0.0
2023-09-22 00:00:00+00:00,,,,0.0,3538,0.0,0.0
2023-09-23 00:00:00+00:00,,,,0.0,1510,0.0,0.0
2023-09-24 00:00:00+00:00,,,,0.0,790,0.0,0.0
2023-09-25 00:00:00+00:00,,,,0.0,1013,0.0,0.0
2023-09-26 00:00:00+00:00,,,,0.0,1333,0.0,0.0
2023-09-27 00:00:00+00:00,,,,0.0,1290,0.0,0.0
2023-09-28 00:00:00+00:00,,,,0.0,2642,0.0,0.0
2023-09-29 00:00:00+00:00,,,,0.0,1699,0.0,0.0
2023-09-30 00:00:00+00:00,,,,0.0,421,0.0,0.0
2023-10-01 00:00:00+00:00,,,,0.0,1690,0.0,0.0
2023-10-02 00:00:00+00:00,,,,0.0,1331,0.0,0.0
2023-10-03 00:00:00+00:00,,,,0.0,818,0.0,0.0
2023-10-04 00:00:00+00:00,,,,0.0,824,0.0,0.0
2023-10-05 00:00:00+00:00,,,,0.0,823,0.0,0.0
2023-10-06 00:00:00+00:00,,,,0.0,763,0.0,0.0
2023-10-07 00:00:00+00:00,,,,0.0,783,0.0,0.0
2023-10-08 00:00:00+00:00,,,,0.0,1581,0.0,0.0
2023-10-09 00:00:00+00:00,,,,0.0,1590,0.0,0.0
2023-10-10 00:00:00+00:00,,,,0.0,794,0.0,0.0
2023-10-11 00:00:00+00:00,,,,0.0,782,0.0,0.0
2023-10-12 00:00:00+00:00,,,,0.0,782,0.0,0.0
2023-10-13 00:00:00+00:00,,,,0.0,784,0.0,0.0
2023-10-14 00:00:00+00:00,,,,0.0,1170,0.0,0.0
2023-10-15 00:00:00+00:00,,,,0.0,872,0.0,0.0
2023-10-16 00:00:00+00:00,,,,0.0,1195,0.0,0.0
2023-10-17 00:00:00+00:00,,,,0.0,843,0.0,0.0
2023-10-18 00:00:00+00:00,,,,0.0,1385,0.0,0.0
2023-10-19 00:00:00+00:00,,,,0.0,1648,0.0,0.0
