,BTC,Lag
RLC,1.2981083129064729e-22,1
DOGE,2.026623975101477e-06,26
DGB,2.5550085504990527e-06,27
SC,4.3393601897588905e-06,28
QTUM,1.5583648342526055e-05,27
ETH,1.719114930311626e-05,28
XRP,4.686600189638894e-05,22
MIOTA,7.780848931718194e-05,1
ZEN,0.0010388732277474,29
XLM,0.0012208365741327,3
LTC,0.0014413125281336,22
ZEC,0.001513395003106,22
ETC,0.0022392965568987,2
LUNC,0.0034463949438912,30
KMD,0.0038857877445712,27
BAT,0.004167918427118,28
WAVES,0.0078260053884193,21
BTS,0.00964317764065,1
ARK,0.012272021696089,1
GNO,0.0126301958918783,6
ANT,0.041197189694072,23
LSK,0.051146895671686,22
STEEM,0.0649574467043832,29
XEM,0.0951155649119669,1
XMR,0.1275945893451833,29
DASH,0.1326695416104657,9
PIVX,0.1394726463909736,12
DCR,0.1841780306652148,3
GAS,0.2361252999993757,1
FIRO,0.2672184376381549,1
SYS,0.2977040052070421,10
