TIMESTAMP,KITTI_OPEN_PRICE_USD,KITTI_HIGH_PRICE_USD,KITTI_LOW_PRICE_USD,KITTI_CLOSE_PRICE_USD,KITTI_VOLUME_USD,KITTI_DIVIDENDS_USD,KITTI_STOCK_SPLITS_USD
2023-02-19 00:00:00+00:00,,,,0.0,54347,0.0,0.0
2023-02-20 00:00:00+00:00,,,,0.0,41572,0.0,0.0
2023-02-21 00:00:00+00:00,,,,0.0,38295,0.0,0.0
2023-02-22 00:00:00+00:00,,,,0.0,29143,0.0,0.0
2023-02-23 00:00:00+00:00,,,,0.0,12698,0.0,0.0
2023-02-24 00:00:00+00:00,,,,0.0,5864,0.0,0.0
2023-02-25 00:00:00+00:00,,,,0.0,4729,0.0,0.0
2023-02-26 00:00:00+00:00,,,,0.0,3987,0.0,0.0
2023-02-27 00:00:00+00:00,,,,0.0,7062,0.0,0.0
2023-02-28 00:00:00+00:00,,,,0.0,10824,0.0,0.0
2023-03-01 00:00:00+00:00,,,,0.0,6437,0.0,0.0
2023-03-02 00:00:00+00:00,,,,0.0,66567,0.0,0.0
2023-03-03 00:00:00+00:00,,,,0.0,28969,0.0,0.0
2023-03-04 00:00:00+00:00,,,,0.0,3637,0.0,0.0
2023-03-05 00:00:00+00:00,,,,0.0,3619,0.0,0.0
2023-03-06 00:00:00+00:00,,,,0.0,6084,0.0,0.0
2023-03-07 00:00:00+00:00,,,,0.0,2802,0.0,0.0
2023-03-08 00:00:00+00:00,,,,0.0,7599,0.0,0.0
2023-03-09 00:00:00+00:00,,,,0.0,3906,0.0,0.0
2023-03-10 00:00:00+00:00,,,,0.0,1072,0.0,0.0
2023-03-11 00:00:00+00:00,,,,0.0,5272,0.0,0.0
2023-03-12 00:00:00+00:00,,,,0.0,4837,0.0,0.0
2023-03-13 00:00:00+00:00,,,,0.0,5069,0.0,0.0
2023-03-14 00:00:00+00:00,,,,0.0,1855,0.0,0.0
2023-03-15 00:00:00+00:00,,,,0.0,414,0.0,0.0
2023-03-16 00:00:00+00:00,,,,0.0,1867,0.0,0.0
2023-03-17 00:00:00+00:00,,,,0.0,377,0.0,0.0
2023-03-18 00:00:00+00:00,,,,0.0,768,0.0,0.0
2023-03-19 00:00:00+00:00,,,,0.0,423,0.0,0.0
2023-03-20 00:00:00+00:00,,,,0.0,422,0.0,0.0
2023-03-21 00:00:00+00:00,,,,0.0,235,0.0,0.0
2023-03-22 00:00:00+00:00,,,,0.0,143,0.0,0.0
2023-03-23 00:00:00+00:00,,,,0.0,180,0.0,0.0
2023-03-24 00:00:00+00:00,,,,0.0,213,0.0,0.0
2023-03-25 00:00:00+00:00,,,,0.0,361,0.0,0.0
2023-03-26 00:00:00+00:00,,,,0.0,969,0.0,0.0
2023-03-27 00:00:00+00:00,,,,0.0,132,0.0,0.0
2023-03-28 00:00:00+00:00,,,,0.0,55,0.0,0.0
2023-03-29 00:00:00+00:00,,,,0.0,107,0.0,0.0
2023-03-30 00:00:00+00:00,,,,0.0,153,0.0,0.0
2023-03-31 00:00:00+00:00,,,,0.0,156,0.0,0.0
2023-04-01 00:00:00+00:00,,,,0.0,142,0.0,0.0
2023-04-02 00:00:00+00:00,,,,0.0,52,0.0,0.0
2023-04-03 00:00:00+00:00,,,,0.0,92,0.0,0.0
2023-04-04 00:00:00+00:00,,,,0.0,1370,0.0,0.0
2023-04-05 00:00:00+00:00,,,,0.0,256,0.0,0.0
2023-04-06 00:00:00+00:00,,,,0.0,668,0.0,0.0
2023-04-07 00:00:00+00:00,,,,0.0,203,0.0,0.0
2023-04-08 00:00:00+00:00,,,,0.0,651,0.0,0.0
2023-04-09 00:00:00+00:00,,,,0.0,62,0.0,0.0
2023-04-10 00:00:00+00:00,,,,0.0,495,0.0,0.0
2023-04-11 00:00:00+00:00,,,,0.0,59,0.0,0.0
2023-04-12 00:00:00+00:00,,,,0.0,70,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,65,0.0,0.0
2023-04-14 00:00:00+00:00,,,,0.0,71,0.0,0.0
2023-04-15 00:00:00+00:00,,,,0.0,94,0.0,0.0
2023-04-16 00:00:00+00:00,,,,0.0,677,0.0,0.0
