TIMESTAMP,IOTA_CLOSE_PRICE_USD,IOTA_OPEN_PRICE_USD,IOTA_HIGH_PRICE_USD,IOTA_LOW_PRICE_USD
2017-06-14,0.5202,0.587,0.6101,0.4795
2017-06-15,0.3467,0.5202,0.5447,0.2912
2017-06-16,0.4082,0.3467,0.599,0.3053
2017-06-17,0.428,0.4082,0.4512,0.4
2017-06-18,0.4056,0.428,0.4502,0.385
2017-06-19,0.4254,0.4056,0.435,0.395
2017-06-20,0.4405,0.4254,0.4472,0.411
2017-06-21,0.425,0.4405,0.4624,0.415
2017-06-22,0.4373,0.425,0.4499,0.4114
2017-06-23,0.4828,0.4373,0.4828,0.433
2017-06-24,0.5053,0.4828,0.6289,0.4767
2017-06-25,0.4653,0.5053,0.5214,0.4401
2017-06-26,0.408,0.4653,0.4659,0.3401
2017-06-27,0.394,0.408,0.42,0.3483
2017-06-28,0.373,0.394,0.4,0.3511
2017-06-29,0.411,0.373,0.4599,0.3619
2017-06-30,0.398,0.411,0.449,0.393
2017-07-01,0.3811,0.398,0.4129,0.3701
2017-07-02,0.3769,0.3811,0.39,0.36
2017-07-03,0.376,0.3769,0.385,0.35
2017-07-04,0.3938,0.376,0.4098,0.3702
2017-07-05,0.381,0.3938,0.3987,0.3681
2017-07-06,0.3529,0.381,0.3851,0.3033
2017-07-07,0.2822,0.3529,0.3565,0.27
2017-07-08,0.3003,0.2822,0.3202,0.2751
2017-07-09,0.3,0.3003,0.3125,0.2829
2017-07-10,0.21,0.3,0.3041,0.1837
2017-07-11,0.1869,0.21,0.2342,0.1837
2017-07-12,0.2288,0.1869,0.2395,0.1806
2017-07-13,0.2129,0.2288,0.239,0.1875
2017-07-14,0.1751,0.2129,0.2131,0.1602
2017-07-15,0.1582,0.1751,0.1763,0.1427
2017-07-16,0.178,0.1582,0.188,0.155
2017-07-17,0.264,0.178,0.28,0.1767
2017-07-18,0.268,0.264,0.3123,0.246
2017-07-19,0.2314,0.268,0.2849,0.23
2017-07-20,0.2937,0.2314,0.3043,0.2302
2017-07-21,0.2595,0.2937,0.3078,0.2452
2017-07-22,0.2716,0.2595,0.2785,0.2536
2017-07-23,0.2649,0.2716,0.28,0.2551
2017-07-24,0.2674,0.2649,0.273,0.2361
2017-07-25,0.25,0.2674,0.2688,0.2365
2017-07-26,0.2744,0.25,0.2845,0.2409
2017-07-27,0.273,0.2744,0.285,0.2711
2017-07-28,0.2651,0.273,0.2765,0.262
2017-07-29,0.2767,0.2651,0.278,0.243
2017-07-30,0.2547,0.2767,0.278,0.2502
2017-07-31,0.254,0.2547,0.26,0.244
2017-08-01,0.291,0.254,0.294,0.2493
2017-08-02,0.286,0.291,0.2939,0.2715
2017-08-03,0.3319,0.286,0.3392,0.285
2017-08-04,0.3937,0.3319,0.4217,0.3315
2017-08-05,0.408,0.3937,0.4316,0.3601
2017-08-06,0.4299,0.408,0.44,0.395
2017-08-07,0.474,0.4299,0.49,0.411
2017-08-08,0.5481,0.474,0.5517,0.4555
2017-08-09,0.53,0.5481,0.557,0.5091
2017-08-10,0.5624,0.53,0.5892,0.5069
2017-08-11,0.6547,0.5624,0.7177,0.5561
2017-08-12,0.72,0.6547,0.73,0.6128
2017-08-13,0.8043,0.72,0.83,0.69
2017-08-14,0.972,0.8043,0.9797,0.7914
2017-08-15,0.917,0.972,0.995,0.75
2017-08-16,1.04,0.917,1.05,0.8633
2017-08-17,1.01,1.04,1.1,0.99
2017-08-18,0.867,1.01,1.04,0.7611
2017-08-19,0.9791,0.867,0.9859,0.77
