,BTC
ETH,0.7787365491495024
LTC,0.7619900593998695
GNO,0.7016560840924451
XMR,0.6805117074488336
QTUM,0.6736712539123227
MIOTA,0.6573877002924668
ETC,0.6471357571019862
DASH,0.6407064480319687
ZEC,0.6342793449518556
DGB,0.62485880745501
BAT,0.615793515402035
XLM,0.5938477557835022
SC,0.5929398913876147
LSK,0.5904547649121143
XEM,0.5818742699982887
DCR,0.568552472318535
PIVX,0.5462483088766884
XRP,0.5443285480132335
SYS,0.5284539189415481
STEEM,0.5265939523750677
RLC,0.5245901084999434
ZEN,0.5186230867323622
BTS,0.5179059789148587
WAVES,0.4991888626044644
ANT,0.4823324823534227
KMD,0.4591642418291377
FIRO,0.4485825485931952
GAS,0.415365107834842
ARK,0.4065497710794213
LUNC,0.3833739083209447
DOGE,0.3475802219315327
