TIMESTAMP,METADOGE_OPEN_PRICE_USD,METADOGE_HIGH_PRICE_USD,METADOGE_LOW_PRICE_USD,METADOGE_CLOSE_PRICE_USD,METADOGE_VOLUME_USD,METADOGE_DIVIDENDS_USD,METADOGE_STOCK_SPLITS_USD
2021-11-07 00:00:00+00:00,1.1000000085914508e-05,9.200000204145908e-05,1.1000000085914508e-05,4.600000102072954e-05,2335863,0.0,0.0
2021-11-08 00:00:00+00:00,4.600000102072954e-05,4.999999873689376e-05,2.700000004551839e-05,2.9999999242136255e-05,2779192,0.0,0.0
2021-11-09 00:00:00+00:00,2.9999999242136255e-05,6.800000119255856e-05,2.9000000722589903e-05,6.800000119255856e-05,1555430,0.0,0.0
2021-11-10 00:00:00+00:00,6.800000119255856e-05,7.200000254670158e-05,3.099999958067201e-05,4.099999932805076e-05,1667637,0.0,0.0
2021-11-11 00:00:00+00:00,4.099999932805076e-05,4.600000102072954e-05,2.700000004551839e-05,2.9000000722589903e-05,1285300,0.0,0.0
2021-11-12 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.5999999706982635e-05,2.5999999706982635e-05,409210,0.0,0.0
2021-11-13 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.099999983329326e-05,2.099999983329326e-05,110144,0.0,0.0
2021-11-14 00:00:00+00:00,2.099999983329326e-05,5.0999999075429514e-05,2.099999983329326e-05,5.0999999075429514e-05,158968,0.0,0.0
2021-11-15 00:00:00+00:00,5.0999999075429514e-05,6.0999998822808266e-05,2.8000000384054147e-05,3.5000000934815034e-05,360845,0.0,0.0
2021-11-16 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.4000000848900527e-05,2.5999999706982635e-05,510181,0.0,0.0
2021-11-17 00:00:00+00:00,2.5999999706982635e-05,3.400000059627928e-05,2.4000000848900527e-05,3.400000059627928e-05,2097255,0.0,0.0
2021-11-18 00:00:00+00:00,3.400000059627928e-05,7.500000356230885e-05,3.300000025774352e-05,3.7999998312443495e-05,2605217,0.0,0.0
2021-11-19 00:00:00+00:00,3.7999998312443495e-05,4.8000001697801054e-05,3.400000059627928e-05,3.5000000934815034e-05,2647557,0.0,0.0
2021-11-20 00:00:00+00:00,3.5000000934815034e-05,4.3000000005122274e-05,2.9000000722589903e-05,3.7999998312443495e-05,3455688,0.0,0.0
2021-11-21 00:00:00+00:00,3.7999998312443495e-05,5.6000000768108293e-05,3.5000000934815034e-05,5.0999999075429514e-05,2401672,0.0,0.0
2021-11-22 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,3.099999958067201e-05,3.199999991920777e-05,463361,0.0,0.0
2021-11-23 00:00:00+00:00,3.199999991920777e-05,3.9999998989515007e-05,3.199999991920777e-05,3.5000000934815034e-05,586222,0.0,0.0
2021-11-24 00:00:00+00:00,3.5000000934815034e-05,3.7999998312443495e-05,2.8000000384054147e-05,3.600000127335079e-05,471237,0.0,0.0
2021-11-25 00:00:00+00:00,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,3.099999958067201e-05,96468,0.0,0.0
