TIMESTAMP,DARAM33993_OPEN_PRICE_USD,DARAM33993_HIGH_PRICE_USD,DARAM33993_LOW_PRICE_USD,DARAM33993_CLOSE_PRICE_USD,DARAM33993_VOLUME_USD,DARAM33993_DIVIDENDS_USD,DARAM33993_STOCK_SPLITS_USD
2024-11-19 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.099999958067201e-05,3.5000000934815034e-05,1465124,0.0,0.0
2024-11-20 00:00:00+00:00,3.5000000934815034e-05,5.0999999075429514e-05,3.300000025774352e-05,4.199999966658652e-05,1953604,0.0,0.0
2024-11-21 00:00:00+00:00,4.199999966658652e-05,5.400000009103678e-05,3.600000127335079e-05,5.400000009103678e-05,1845984,0.0,0.0
2024-11-22 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,3.9999998989515007e-05,4.199999966658652e-05,1440083,0.0,0.0
2024-11-23 00:00:00+00:00,4.199999966658652e-05,4.70000013592653e-05,3.600000127335079e-05,3.9999998989515007e-05,1310423,0.0,0.0
2024-11-24 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.600000127335079e-05,3.899999865097925e-05,1223291,0.0,0.0
2024-11-25 00:00:00+00:00,3.899999865097925e-05,4.70000013592653e-05,3.7000001611886546e-05,3.899999865097925e-05,1390376,0.0,0.0
2024-11-26 00:00:00+00:00,3.899999865097925e-05,4.199999966658652e-05,2.9000000722589903e-05,3.300000025774352e-05,1442208,0.0,0.0
2024-11-27 00:00:00+00:00,3.300000025774352e-05,3.600000127335079e-05,2.5999999706982635e-05,3.199999991920777e-05,1486646,0.0,0.0
2024-11-28 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,2.9000000722589903e-05,2.9999999242136255e-05,1202929,0.0,0.0
2024-11-29 00:00:00+00:00,2.9999999242136255e-05,3.400000059627928e-05,2.5999999706982635e-05,2.700000004551839e-05,1275657,0.0,0.0
2024-11-30 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.300000051036477e-05,2.9999999242136255e-05,1651866,0.0,0.0
2024-12-01 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.700000004551839e-05,1110796,0.0,0.0
2024-12-02 00:00:00+00:00,2.700000004551839e-05,3.099999958067201e-05,2.300000051036477e-05,2.8000000384054147e-05,1425477,0.0,0.0
2024-12-03 00:00:00+00:00,2.8000000384054147e-05,3.5000000934815034e-05,2.700000004551839e-05,2.9000000722589903e-05,1323329,0.0,0.0
2024-12-04 00:00:00+00:00,2.9000000722589903e-05,3.600000127335079e-05,2.9000000722589903e-05,3.099999958067201e-05,1199728,0.0,0.0
2024-12-05 00:00:00+00:00,3.099999958067201e-05,4.5000000682193786e-05,2.9999999242136255e-05,4.099999932805076e-05,1448100,0.0,0.0
2024-12-06 00:00:00+00:00,3.9999998989515007e-05,5.2999999752501026e-05,3.7000001611886546e-05,4.199999966658652e-05,1613812,0.0,0.0
2024-12-07 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.099999958067201e-05,3.899999865097925e-05,1633275,0.0,0.0
2024-12-08 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.5000000934815034e-05,3.7000001611886546e-05,1090067,0.0,0.0
2024-12-09 00:00:00+00:00,3.7000001611886546e-05,3.7999998312443495e-05,2.9999999242136255e-05,3.099999958067201e-05,1125763,0.0,0.0
2024-12-10 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.8000000384054147e-05,3.099999958067201e-05,1202821,0.0,0.0
2024-12-11 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.8000000384054147e-05,2.9999999242136255e-05,1098445,0.0,0.0
