TIMESTAMP,INU20860_OPEN_PRICE_USD,INU20860_HIGH_PRICE_USD,INU20860_LOW_PRICE_USD,INU20860_CLOSE_PRICE_USD,INU20860_VOLUME_USD,INU20860_DIVIDENDS_USD,INU20860_STOCK_SPLITS_USD
2022-07-05 00:00:00+00:00,,,,0.0,2919673,0.0,0.0
2022-07-06 00:00:00+00:00,,,,0.0,2253466,0.0,0.0
2022-07-07 00:00:00+00:00,,,,0.0,1543924,0.0,0.0
2022-07-08 00:00:00+00:00,,,,0.0,655484,0.0,0.0
2022-07-09 00:00:00+00:00,,,,0.0,1653236,0.0,0.0
2022-07-10 00:00:00+00:00,,,,0.0,919782,0.0,0.0
2022-07-11 00:00:00+00:00,,,,0.0,584341,0.0,0.0
2022-07-12 00:00:00+00:00,,,,0.0,554969,0.0,0.0
2022-07-13 00:00:00+00:00,,,,0.0,631511,0.0,0.0
2022-07-14 00:00:00+00:00,,,,0.0,428882,0.0,0.0
2022-07-15 00:00:00+00:00,,,,0.0,417606,0.0,0.0
2022-07-16 00:00:00+00:00,,,,0.0,465320,0.0,0.0
2022-07-17 00:00:00+00:00,,,,0.0,555515,0.0,0.0
2022-07-18 00:00:00+00:00,,,,0.0,497368,0.0,0.0
2022-07-19 00:00:00+00:00,,,,0.0,319342,0.0,0.0
2022-07-20 00:00:00+00:00,,,,0.0,163870,0.0,0.0
2022-07-21 00:00:00+00:00,,,,0.0,257820,0.0,0.0
2022-07-22 00:00:00+00:00,,,,0.0,116335,0.0,0.0
2022-07-23 00:00:00+00:00,,,,0.0,197623,0.0,0.0
2022-07-24 00:00:00+00:00,,,,0.0,97354,0.0,0.0
2022-07-25 00:00:00+00:00,,,,0.0,58352,0.0,0.0
2022-07-26 00:00:00+00:00,,,,0.0,97519,0.0,0.0
2022-07-27 00:00:00+00:00,,,,0.0,138840,0.0,0.0
2022-07-28 00:00:00+00:00,,,,0.0,96595,0.0,0.0
2022-07-29 00:00:00+00:00,,,,0.0,69063,0.0,0.0
