,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,1826,0.51,0.36,0.14,0.19,0.25,0.35,0.69,1.19,2.78
\emph{XRP}/\emph{USDT} HP,1826,0.53,0.39,0.15,0.19,0.26,0.37,0.72,1.25,3.29
\emph{XRP}/\emph{USDT} LP,1826,0.48,0.33,0.10,0.18,0.24,0.33,0.65,1.12,2.58
\emph{XRP}/\emph{USDT} CP,1826,0.51,0.36,0.14,0.19,0.25,0.35,0.69,1.19,2.78
