,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,4466,0.50,0.31,0.14,0.19,0.27,0.37,0.65,1.14,1.90
\emph{XRP}/\emph{USDT} HP,4466,0.51,0.32,0.14,0.19,0.27,0.38,0.67,1.17,1.97
\emph{XRP}/\emph{USDT} LP,4466,0.48,0.30,0.10,0.19,0.26,0.36,0.64,1.10,1.74
\emph{XRP}/\emph{USDT} CP,4466,0.50,0.31,0.14,0.19,0.27,0.37,0.65,1.14,1.90
