TIMESTAMP,CPL_OPEN_PRICE_USD,CPL_HIGH_PRICE_USD,CPL_LOW_PRICE_USD,CPL_CLOSE_PRICE_USD,CPL_VOLUME_USD,CPL_DIVIDENDS_USD,CPL_STOCK_SPLITS_USD
2024-07-02 00:00:00+00:00,,,,0.0,79345,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,22162,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,6896,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,4713,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,11953,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,1841,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,2074,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,16907,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,6327,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,6857,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,2369,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,1923,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,16665,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,5758,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,5753,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,14220,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,7993,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,12545,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,1854,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,5295,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,2904,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,18556,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,27967,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,22551,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,10119,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,11503,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,17069,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,43137,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,47409,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,44656,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,39642,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,17700,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,18015,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,17189,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,12727,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,6885,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,24647,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,23223,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,8730,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,11561,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,8520,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,13451,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,7127,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,26171,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,8691,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,14127,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,9413,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,8215,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,7699,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,23074,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,17137,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,22774,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,17153,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,11986,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,10862,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,9488,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,15859,0.0,0.0
