TIMESTAMP,BLAZE30179_OPEN_PRICE_USD,BLAZE30179_HIGH_PRICE_USD,BLAZE30179_LOW_PRICE_USD,BLAZE30179_CLOSE_PRICE_USD,BLAZE30179_VOLUME_USD,BLAZE30179_DIVIDENDS_USD,BLAZE30179_STOCK_SPLITS_USD
2024-04-25 00:00:00+00:00,0.0008299999753944576,0.0009030000073835254,0.0007309999782592058,0.0007539999787695706,1373429,0.0,0.0
2024-04-26 00:00:00+00:00,0.0007539999787695706,0.0007970000151544809,0.0006150000263005495,0.0006189999985508621,437973,0.0,0.0
2024-04-27 00:00:00+00:00,0.0006189999985508621,0.0008319999906234443,0.0005830000154674053,0.0007120000082068145,1008658,0.0,0.0
2024-04-28 00:00:00+00:00,0.0007130000158213079,0.0009710000013001263,0.0007009999826550484,0.0008099999977275729,1352120,0.0,0.0
2024-04-29 00:00:00+00:00,0.0008099999977275729,0.0015429999912157655,0.000783999974373728,0.0012450000504031777,2904677,0.0,0.0
2024-04-30 00:00:00+00:00,0.0012440000427886844,0.0015480000292882323,0.0012100000167265534,0.001297999988310039,1727042,0.0,0.0
2024-05-01 00:00:00+00:00,0.001297999988310039,0.0015429999912157655,0.0012290000449866056,0.0013640000252053142,1102650,0.0,0.0
2024-05-02 00:00:00+00:00,0.0013640000252053142,0.0014669999945908785,0.0012069999938830733,0.001294999965466559,967226,0.0,0.0
2024-05-03 00:00:00+00:00,0.0012939999578520656,0.0014029999729245901,0.0012120000319555402,0.0012410000199452043,886878,0.0,0.0
2024-05-04 00:00:00+00:00,0.0012400000123307109,0.001357999979518354,0.0012049999786540866,0.0012519999872893095,982246,0.0,0.0
2024-05-05 00:00:00+00:00,0.0012519999872893095,0.0013099999632686377,0.0011919999960809946,0.0012379999971017241,528866,0.0,0.0
2024-05-06 00:00:00+00:00,0.0012369999894872308,0.0014659999869763851,0.0011869999580085278,0.0013490000274032354,800319,0.0,0.0
2024-05-07 00:00:00+00:00,0.0013490000274032354,0.001436999998986721,0.0012440000427886844,0.0013170000165700912,766366,0.0,0.0
2024-05-08 00:00:00+00:00,0.0013170000165700912,0.0018390000332146883,0.0012659999774768949,0.0016759999562054873,2015508,0.0,0.0
2024-05-09 00:00:00+00:00,0.0016759999562054873,0.00204299995675683,0.0015670000575482845,0.001706999959424138,2171706,0.0,0.0
2024-05-10 00:00:00+00:00,0.0017079999670386314,0.0032240001019090414,0.0016159999649971724,0.0018260000506415963,16346531,0.0,0.0
2024-05-11 00:00:00+00:00,0.0018269999418407679,0.001905999961309135,0.0014479999663308263,0.00152299995534122,3402203,0.0,0.0
