TIMESTAMP,CTF35497_OPEN_PRICE_USD,CTF35497_HIGH_PRICE_USD,CTF35497_LOW_PRICE_USD,CTF35497_CLOSE_PRICE_USD,CTF35497_VOLUME_USD,CTF35497_DIVIDENDS_USD,CTF35497_STOCK_SPLITS_USD
2025-03-17 00:00:00+00:00,,,,0.0,13264,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,5100,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,6060,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,5395,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,1482,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,899,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,1152,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,1079,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,8606,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,2959,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,652,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,2776,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,548,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,6600,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,81,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,314,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,348,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,109,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,40,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,219,0.0,0.0
2025-06-01 00:00:00+00:00,5.204135433700685e-08,5.204135433700685e-08,5.120517698742333e-08,5.124652346921721e-08,1,0.0,0.0
