,MSE,RMSE,MAE,MAPE,R2
0,13614.079224756248,116.67938646031803,97.71562707742993,0.042897181974346395,0.8455968529531579
1,6869.654205855898,82.88337713833756,65.85238624472264,0.03108491940450652,0.7992957992389831
2,14962.866179510247,122.32279501184661,100.14906335406128,0.03227586206277603,0.7177953421601252
3,31289.843173204736,176.889352910809,139.60307830850005,0.04269357626186842,0.7548075955856979
4,19144.089189260743,138.36216675544202,111.89134043263219,0.028984635981155856,0.8165801167685578
5,33911.99227486779,184.15209006380513,142.83739405489013,0.03284948739642077,0.28384311337872703
6,20115.159969218363,141.82792379929407,111.97798957214496,0.02787198757074925,0.6057447088145693
7,14277.93935347361,119.49033163178353,93.27238374847101,0.03128356435948312,0.9282404677655078
8,17650.99460962124,132.8570457658202,102.11908897650342,0.035350480929835996,0.5509206125928093
9,7154.777925768418,84.58592037548813,67.45645018772919,0.023942824244287664,0.9060521823243166
10,9234.718170907774,96.09744102164102,75.6183690463233,0.02465364370526906,0.7834530118750914
11,12780.649100007895,113.05153293966383,95.78464976868457,0.04333496894853633,0.8976978253981364
Mean,16750.563614704417,125.76661365618742,100.35648506434107,0.033101927736602955,0.7408356357379734
