TIMESTAMP,TYPE36454_OPEN_PRICE_USD,TYPE36454_HIGH_PRICE_USD,TYPE36454_LOW_PRICE_USD,TYPE36454_CLOSE_PRICE_USD,TYPE36454_VOLUME_USD,TYPE36454_DIVIDENDS_USD,TYPE36454_STOCK_SPLITS_USD
2025-05-09 00:00:00+00:00,0.002319999970495701,0.0024969999212771654,0.00032699998700991273,0.0003330000035930425,3382690,0.0,0.0
2025-05-10 00:00:00+00:00,0.0003330000035930425,0.0004579999949783087,0.00014800000644754618,0.00016500000492669642,494670,0.0,0.0
2025-05-11 00:00:00+00:00,0.00016500000492669642,0.0001900000061141327,5.8000001445179805e-05,6.900000153109431e-05,73545,0.0,0.0
2025-05-12 00:00:00+00:00,6.900000153109431e-05,7.699999696342275e-05,4.8000001697801054e-05,4.999999873689376e-05,13454,0.0,0.0
2025-05-13 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,2.700000004551839e-05,2.8000000384054147e-05,6555,0.0,0.0
2025-05-14 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,1.8000000636675395e-05,1.8000000636675395e-05,7498,0.0,0.0
2025-05-15 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2000000424450263e-05,4027,0.0,0.0
2025-05-16 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,789,0.0,0.0
2025-05-17 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,0,0.0,0.0
2025-05-18 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,0,0.0,0.0
2025-05-19 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,1154,0.0,0.0
2025-05-20 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,0,0.0,0.0
2025-05-21 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,104,0.0,0.0
2025-05-22 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.4000000192027073e-05,1400,0.0,0.0
2025-05-23 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,643,0.0,0.0
2025-05-24 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,9.999999747378752e-06,9.999999747378752e-06,1361,0.0,0.0
2025-05-25 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,0,0.0,0.0
2025-05-26 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,1733,0.0,0.0
2025-05-27 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,0,0.0,0.0
2025-05-28 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,1544,0.0,0.0
2025-05-29 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,173,0.0,0.0
2025-05-30 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,0,0.0,0.0
2025-05-31 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,0,0.0,0.0
2025-06-01 00:00:00+00:00,8.384499778912868e-06,8.384499778912868e-06,8.210759006033186e-06,8.306293239002116e-06,10,0.0,0.0
