TIMESTAMP,BIT11500_OPEN_PRICE_USD,BIT11500_HIGH_PRICE_USD,BIT11500_LOW_PRICE_USD,BIT11500_CLOSE_PRICE_USD,BIT11500_VOLUME_USD,BIT11500_DIVIDENDS_USD,BIT11500_STOCK_SPLITS_USD
2021-09-07 00:00:00+00:00,4.999999873689376e-06,9.999999747378752e-06,3.000000106112566e-06,3.999999989900971e-06,5951885,0.0,0.0
2021-09-08 00:00:00+00:00,3.999999989900971e-06,9.000000318337698e-06,3.999999989900971e-06,7.000000096013537e-06,5351148,0.0,0.0
2021-09-09 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,1979734,0.0,0.0
2021-09-10 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,1147250,0.0,0.0
2021-09-11 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,870041,0.0,0.0
2021-09-12 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,450191,0.0,0.0
2021-09-13 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,380502,0.0,0.0
2021-09-14 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,448187,0.0,0.0
2021-09-15 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,567386,0.0,0.0
2021-09-16 00:00:00+00:00,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,1077973,0.0,0.0
2021-09-17 00:00:00+00:00,7.999999979801942e-06,1.4000000192027073e-05,7.999999979801942e-06,1.2999999853491317e-05,1743311,0.0,0.0
2021-09-18 00:00:00+00:00,1.2999999853491317e-05,5.700000110664405e-05,1.2999999853491317e-05,3.9999998989515007e-05,9835821,0.0,0.0
2021-09-19 00:00:00+00:00,3.9999998989515007e-05,4.600000102072954e-05,3.199999991920777e-05,3.600000127335079e-05,11308734,0.0,0.0
2021-09-20 00:00:00+00:00,3.600000127335079e-05,4.70000013592653e-05,3.600000127335079e-05,4.099999932805076e-05,4220871,0.0,0.0
2021-09-21 00:00:00+00:00,4.099999932805076e-05,5.2999999752501026e-05,3.9999998989515007e-05,4.400000034365803e-05,3209492,0.0,0.0
2021-09-22 00:00:00+00:00,4.400000034365803e-05,5.199999941396527e-05,3.9999998989515007e-05,4.5000000682193786e-05,2754524,0.0,0.0
