TIMESTAMP,BABYDOGEINU_OPEN_PRICE_USD,BABYDOGEINU_HIGH_PRICE_USD,BABYDOGEINU_LOW_PRICE_USD,BABYDOGEINU_CLOSE_PRICE_USD,BABYDOGEINU_VOLUME_USD,BABYDOGEINU_DIVIDENDS_USD,BABYDOGEINU_STOCK_SPLITS_USD
2021-07-16 00:00:00+00:00,,,,0.0,126701,0.0,0.0
2021-07-17 00:00:00+00:00,,,,0.0,55765,0.0,0.0
2021-07-18 00:00:00+00:00,,,,0.0,44620,0.0,0.0
2021-07-19 00:00:00+00:00,,,,0.0,126959,0.0,0.0
2021-07-20 00:00:00+00:00,,,,0.0,169102,0.0,0.0
2021-07-21 00:00:00+00:00,,,,0.0,151701,0.0,0.0
2021-07-22 00:00:00+00:00,,,,0.0,264602,0.0,0.0
2021-07-23 00:00:00+00:00,,,,0.0,535378,0.0,0.0
2021-07-24 00:00:00+00:00,,,,0.0,704666,0.0,0.0
2021-07-25 00:00:00+00:00,,,,0.0,488431,0.0,0.0
2021-07-26 00:00:00+00:00,,,,0.0,168581,0.0,0.0
2021-07-27 00:00:00+00:00,,,,0.0,79487,0.0,0.0
2021-07-28 00:00:00+00:00,,,,0.0,76116,0.0,0.0
2021-07-29 00:00:00+00:00,,,,0.0,65863,0.0,0.0
2021-07-30 00:00:00+00:00,,,,0.0,64346,0.0,0.0
2021-07-31 00:00:00+00:00,,,,0.0,75825,0.0,0.0
2021-08-01 00:00:00+00:00,,,,0.0,59085,0.0,0.0
2021-08-02 00:00:00+00:00,,,,0.0,28234,0.0,0.0
2021-08-03 00:00:00+00:00,,,,0.0,12166,0.0,0.0
2021-08-04 00:00:00+00:00,,,,0.0,6869,0.0,0.0
2021-08-05 00:00:00+00:00,,,,0.0,10296,0.0,0.0
2021-08-06 00:00:00+00:00,,,,0.0,13827,0.0,0.0
2021-08-07 00:00:00+00:00,,,,0.0,16416,0.0,0.0
2021-08-08 00:00:00+00:00,,,,0.0,21879,0.0,0.0
2021-08-09 00:00:00+00:00,,,,0.0,23121,0.0,0.0
2021-08-10 00:00:00+00:00,,,,0.0,40037,0.0,0.0
2021-08-11 00:00:00+00:00,,,,0.0,44464,0.0,0.0
2021-08-12 00:00:00+00:00,,,,0.0,33576,0.0,0.0
