TIMESTAMP,TOSHI27750_OPEN_PRICE_USD,TOSHI27750_HIGH_PRICE_USD,TOSHI27750_LOW_PRICE_USD,TOSHI27750_CLOSE_PRICE_USD,TOSHI27750_VOLUME_USD,TOSHI27750_DIVIDENDS_USD,TOSHI27750_STOCK_SPLITS_USD
2023-08-04 00:00:00+00:00,3.5000000934815034e-05,4.5000000682193786e-05,3.099999958067201e-05,3.5000000934815034e-05,4506673,0.0,0.0
2023-08-05 00:00:00+00:00,3.400000059627928e-05,4.400000034365803e-05,2.5999999706982635e-05,4.099999932805076e-05,4857597,0.0,0.0
2023-08-06 00:00:00+00:00,4.099999932805076e-05,4.70000013592653e-05,3.7000001611886546e-05,3.9999998989515007e-05,2876764,0.0,0.0
2023-08-07 00:00:00+00:00,3.9999998989515007e-05,6.900000153109431e-05,3.9999998989515007e-05,6.70000008540228e-05,5314501,0.0,0.0
2023-08-08 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,4.5000000682193786e-05,5.999999848427251e-05,4601713,0.0,0.0
2023-08-09 00:00:00+00:00,5.999999848427251e-05,7.500000356230885e-05,4.5000000682193786e-05,5.999999848427251e-05,6426275,0.0,0.0
2023-08-10 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,3.300000025774352e-05,3.7000001611886546e-05,5088039,0.0,0.0
2023-08-11 00:00:00+00:00,3.7000001611886546e-05,4.8999998398358e-05,3.099999958067201e-05,3.7000001611886546e-05,3439540,0.0,0.0
2023-08-12 00:00:00+00:00,3.7000001611886546e-05,5.199999941396527e-05,3.199999991920777e-05,4.5000000682193786e-05,3305365,0.0,0.0
2023-08-13 00:00:00+00:00,4.5000000682193786e-05,4.5000000682193786e-05,3.7999998312443495e-05,3.899999865097925e-05,1752317,0.0,0.0
2023-08-14 00:00:00+00:00,3.899999865097925e-05,4.8999998398358e-05,3.600000127335079e-05,3.7999998312443495e-05,2115983,0.0,0.0
2023-08-15 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,2.4000000848900527e-05,2.9000000722589903e-05,3998072,0.0,0.0
2023-08-16 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,1.4999999621068127e-05,2.099999983329326e-05,3875442,0.0,0.0
2023-08-17 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,1.4000000192027073e-05,1.8999999156221747e-05,2004762,0.0,0.0
2023-08-18 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.4999999621068127e-05,1226349,0.0,0.0
2023-08-19 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,7.999999979801942e-06,1.2999999853491317e-05,1768331,0.0,0.0
2023-08-20 00:00:00+00:00,1.2999999853491317e-05,2.499999936844688e-05,9.999999747378752e-06,1.700000029813964e-05,2171114,0.0,0.0
2023-08-21 00:00:00+00:00,1.700000029813964e-05,2.5999999706982635e-05,1.5999999959603883e-05,1.8000000636675395e-05,1734307,0.0,0.0
2023-08-22 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.700000029813964e-05,1208481,0.0,0.0
2023-08-23 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.8000000636675395e-05,766910,0.0,0.0
2023-08-24 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.2999999853491317e-05,1051068,0.0,0.0
2023-08-25 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4000000192027073e-05,933119,0.0,0.0
2023-08-26 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,719188,0.0,0.0
2023-08-27 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,659291,0.0,0.0
2023-08-28 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05,709747,0.0,0.0
2023-08-29 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4000000192027073e-05,690086,0.0,0.0
2023-08-30 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,639438,0.0,0.0
2023-08-31 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,9.999999747378752e-06,1.1000000085914508e-05,768342,0.0,0.0
2023-09-01 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.2000000424450263e-05,850977,0.0,0.0
2023-09-02 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,735012,0.0,0.0
2023-09-03 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.2000000424450263e-05,532558,0.0,0.0
2023-09-04 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,495081,0.0,0.0
2023-09-05 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,403946,0.0,0.0
2023-09-06 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,7.000000096013537e-06,576969,0.0,0.0
2023-09-07 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,3.000000106112566e-06,4.999999873689376e-06,640100,0.0,0.0
2023-09-08 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.000000106112566e-06,4.999999873689376e-06,556662,0.0,0.0
2023-09-09 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,295327,0.0,0.0
2023-09-10 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,346868,0.0,0.0
2023-09-11 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,340037,0.0,0.0
2023-09-12 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,353226,0.0,0.0
2023-09-13 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,335061,0.0,0.0
2023-09-14 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,309117,0.0,0.0
2023-09-15 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,294082,0.0,0.0
2023-09-16 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,300438,0.0,0.0
2023-09-17 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,280200,0.0,0.0
2023-09-21 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,273543,0.0,0.0
2023-09-22 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,280354,0.0,0.0
2023-09-23 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,268512,0.0,0.0
2023-09-24 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,265717,0.0,0.0
2023-09-25 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,265703,0.0,0.0
2023-09-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,268536,0.0,0.0
2023-09-27 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,3.000000106112566e-06,6.000000212225132e-06,337470,0.0,0.0
2023-09-28 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,391165,0.0,0.0
2023-09-29 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,319443,0.0,0.0
2023-09-30 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,415920,0.0,0.0
2023-10-01 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,4.999999873689376e-06,7.000000096013537e-06,634878,0.0,0.0
2023-10-02 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,602544,0.0,0.0
2023-10-03 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,458129,0.0,0.0
2023-10-04 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,356222,0.0,0.0
2023-10-05 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,368711,0.0,0.0
2023-10-06 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,398246,0.0,0.0
2023-10-07 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,367342,0.0,0.0
2023-10-08 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,347058,0.0,0.0
2023-10-09 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,0.0,9.000000318337698e-06,145960,0.0,0.0
2023-10-10 00:00:00+00:00,,,,0.0,42589,0.0,0.0
2023-10-11 00:00:00+00:00,,,,0.0,33089,0.0,0.0
2023-10-12 00:00:00+00:00,,,,0.0,28721,0.0,0.0
2023-10-13 00:00:00+00:00,,,,0.0,23818,0.0,0.0
2023-10-14 00:00:00+00:00,,,,0.0,23849,0.0,0.0
2023-10-15 00:00:00+00:00,,,,0.0,25810,0.0,0.0
2023-10-16 00:00:00+00:00,0.0,7.000000096013537e-06,0.0,7.000000096013537e-06,27875,0.0,0.0
