,params_Conv_input_activation,params_Dense_activation_l1,params_Dense_activation_l2,params_Dense_activation_l3,params_Dense_dim_l1,params_Dense_dim_l2,params_Dense_dim_l3,params_Dense_n_layers,params_MSR_Block_Conv1d_out_channels,params_MSR_Block_Conv2d_out_channels,params_MSR_Block_activation,params_MSR_Block_cross_channel_fusion,params_MSR_Block_scales,params_MSR_Conv1d_activation,params_RNN_activation,params_RNN_dim_l1,params_RNN_dim_l2,params_RNN_dim_l3,params_RNN_n_layers,params_TRAIN_batch_size,params_TRAIN_learning_rate,params_TRAIN_momentum,params_TRAIN_n_epochs,params_TRAIN_optimizer,params_TRAIN_weight_decay,user_attrs_mean_train_mae,user_attrs_mean_train_mse,user_attrs_mean_val_mae,user_attrs_mean_val_mse,user_attrs_median_train_mae,user_attrs_median_train_mse,user_attrs_median_val_mae,user_attrs_median_val_mse,Mean_Train_MSE,Median_Train_MSE,Mean_Train_MAE,Median_Train_MAE,Mean_Val_MSE,Median_Val_MSE,Mean_Val_MAE,Median_Val_MAE
0,sigmoid,linear,tanh,elu,208,48,160,2,56,48,sigmoid,False,"[7, 9, 11, 13, 15]",gelu,selu,384,288,448,2,40,0.0037612346552400367,0.9753512598853978,92,Adadelta,1e-05,0.022857183822889055,0.0020790466992758453,0.04673061158309972,0.005710735374512515,0.022538693261193975,0.0020607478172479645,0.047782290084288956,0.005835745086506167,0.0020790466992758453,0.0020607478172479645,0.022857183822889055,0.022538693261193975,0.005710735374512515,0.005835745086506167,0.04673061158309972,0.047782290084288956
1,leaky_relu,selu,tanh,linear,144,16,64,1,12,52,selu,True,"[1, 2, 3, 4]",relu,elu,464,192,160,1,112,0.00022216127841802227,0.9363197886765262,84,Adagrad,0.001,0.022912481578682125,0.002082322439881494,0.046838523767426164,0.005719454790971606,0.022650350178204732,0.002066647967980207,0.04787771279234649,0.005847597819939393,0.002082322439881494,0.002066647967980207,0.022912481578682125,0.022650350178204732,0.005719454790971606,0.005847597819939393,0.046838523767426164,0.04787771279234649
2,selu,tanh,sigmoid,relu,192,80,96,1,56,88,tanh,False,"[1, 2, 5]",relu,selu,224,496,208,1,192,0.0006902575429278111,0.839984694337563,60,SGD,0.01,0.02289549974681641,0.002079123080223903,0.046934631972614514,0.0057196777088337515,0.022564872716320135,0.0020608700576223147,0.047909628456137325,0.005842643380069202,0.002079123080223903,0.0020608700576223147,0.02289549974681641,0.022564872716320135,0.0057196777088337515,0.005842643380069202,0.046934631972614514,0.047909628456137325
3,selu,leaky_relu,relu,leaky_relu,144,32,160,2,16,96,gelu,False,"[1, 4, 5]",selu,tanh,448,80,320,3,88,0.002180224354279779,0.8800832606733577,130,Adam,0.001,0.023665274479794187,0.002111307664059633,0.04677654201627071,0.005723096539101288,0.023226326826065943,0.0020828627244581545,0.04792961740632287,0.005842419551697589,0.002111307664059633,0.0020828627244581545,0.023665274479794187,0.023226326826065943,0.005723096539101288,0.005842419551697589,0.04677654201627071,0.04792961740632287
4,leaky_relu,leaky_relu,tanh,tanh,128,160,64,3,48,36,tanh,False,"[5, 7, 14]",linear,relu,240,320,288,3,120,7.595306583681801e-05,0.8879297883716876,132,NAdam,0.0001,0.02449865377883742,0.0021553859855785898,0.04704208138962537,0.005781804464326516,0.02435653077603326,0.0021379392808926027,0.04794833379963334,0.0058559451676944,0.0021553859855785898,0.0021379392808926027,0.02449865377883742,0.02435653077603326,0.005781804464326516,0.0058559451676944,0.04704208138962537,0.04794833379963334
5,elu,relu,elu,sigmoid,80,144,160,2,32,84,sigmoid,True,"[2, 5, 7, 14]",tanh,sigmoid,144,240,448,2,88,0.00011596587474585198,0.9166421216927517,74,NAdam,0.0001,0.023379935552319667,0.0021310885100717077,0.04809335309088711,0.005893976507911368,0.022752414664282915,0.0021003442935020036,0.04807984138218813,0.005913253171065931,0.0021310885100717077,0.0021003442935020036,0.023379935552319667,0.022752414664282915,0.005893976507911368,0.005913253171065931,0.04809335309088711,0.04807984138218813
6,linear,leaky_relu,gelu,elu,48,160,48,3,32,104,leaky_relu,True,"[5, 7, 9, 12, 14]",sigmoid,gelu,496,384,176,2,144,6.146414263760453e-05,0.8202743560611288,182,SGD,0.0001,0.072627068964961,0.0067665988489063545,0.0825121348028608,0.010399284832808386,0.07386826874381365,0.006821221914436126,0.0824736299929946,0.01038204198973722,0.0067665988489063545,0.006821221914436126,0.072627068964961,0.07386826874381365,0.010399284832808386,0.01038204198973722,0.0825121348028608,0.0824736299929946
7,linear,gelu,elu,tanh,64,160,64,2,20,104,linear,True,"[1, 2, 3, 4, 5]",selu,sigmoid,336,288,208,2,200,0.00016105424317218618,0.8231613648714704,92,Adadelta,1e-06,0.4363825299212429,0.19528423122428373,0.43774714364069106,0.19906798595247047,0.45021347299808323,0.20477440068051772,0.4536432817764786,0.21020322625673032,0.19528423122428373,0.20477440068051772,0.4363825299212429,0.45021347299808323,0.19906798595247047,0.21020322625673032,0.43774714364069106,0.4536432817764786
8,tanh,selu,relu,tanh,48,160,80,3,48,112,elu,True,"[1, 3, 5, 7, 10, 12, 14]",sigmoid,gelu,176,192,320,1,248,4.6563021858356374e-05,0.9817513778712417,96,Adadelta,0.0001,0.47680801845884324,0.23521491340255982,0.4780381892877104,0.23895757045041088,0.4691011336265461,0.22224417527569937,0.4713976045566818,0.22719524627884705,0.23521491340255982,0.22224417527569937,0.47680801845884324,0.4691011336265461,0.23895757045041088,0.22719524627884705,0.4780381892877104,0.4713976045566818
9,gelu,relu,relu,elu,80,224,256,3,64,60,tanh,False,"[1, 2, 3, 4]",relu,leaky_relu,336,320,128,3,16,0.004129458810194742,0.8772480225062401,20,RMSprop,0.01,7.33024681810192,5695.986638282487,1.675683303636465,12.392471089365252,1.3187986299114782,3.4268579075406853,0.5346375544719115,0.30462316804294076,5695.986638282487,3.4268579075406853,7.33024681810192,1.3187986299114782,12.392471089365252,0.30462316804294076,1.675683303636465,0.5346375544719115
