TIMESTAMP,BALA_OPEN_PRICE_USD,BALA_HIGH_PRICE_USD,BALA_LOW_PRICE_USD,BALA_CLOSE_PRICE_USD,BALA_VOLUME_USD,BALA_DIVIDENDS_USD,BALA_STOCK_SPLITS_USD
2021-09-10 00:00:00+00:00,,,,0.0,19530,0.0,0.0
2021-09-11 00:00:00+00:00,,,,0.0,22991,0.0,0.0
2021-09-12 00:00:00+00:00,,,,0.0,16769,0.0,0.0
2021-09-13 00:00:00+00:00,,,,0.0,15275,0.0,0.0
2021-09-14 00:00:00+00:00,,,,0.0,19906,0.0,0.0
2021-09-15 00:00:00+00:00,,,,0.0,15873,0.0,0.0
2021-09-16 00:00:00+00:00,,,,0.0,8444,0.0,0.0
2021-09-17 00:00:00+00:00,,,,0.0,15308,0.0,0.0
2021-09-18 00:00:00+00:00,,,,0.0,19450,0.0,0.0
2021-09-19 00:00:00+00:00,,,,0.0,28643,0.0,0.0
2021-09-20 00:00:00+00:00,,,,0.0,49293,0.0,0.0
2021-09-21 00:00:00+00:00,,,,0.0,39147,0.0,0.0
2021-09-22 00:00:00+00:00,,,,0.0,64528,0.0,0.0
2021-09-23 00:00:00+00:00,,,,0.0,100333,0.0,0.0
2021-09-24 00:00:00+00:00,,,,0.0,58818,0.0,0.0
2021-09-25 00:00:00+00:00,,,,0.0,26129,0.0,0.0
2021-09-26 00:00:00+00:00,,,,0.0,21896,0.0,0.0
2021-09-27 00:00:00+00:00,,,,0.0,16169,0.0,0.0
2021-09-28 00:00:00+00:00,,,,0.0,37263,0.0,0.0
2021-09-29 00:00:00+00:00,,,,0.0,38808,0.0,0.0
2021-09-30 00:00:00+00:00,,,,0.0,9274,0.0,0.0
2021-10-04 00:00:00+00:00,,,,0.0,9260,0.0,0.0
2021-10-05 00:00:00+00:00,,,,0.0,6631,0.0,0.0
2021-10-06 00:00:00+00:00,,,,0.0,7267,0.0,0.0
2021-10-07 00:00:00+00:00,,,,0.0,10088,0.0,0.0
2021-10-08 00:00:00+00:00,,,,0.0,20271,0.0,0.0
2021-10-09 00:00:00+00:00,,,,0.0,30480,0.0,0.0
2021-10-10 00:00:00+00:00,,,,0.0,16392,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,171284,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,231606,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,86684,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,45586,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,33647,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,26862,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,94429,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,88997,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,570774,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,345925,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,37680,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,21973,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,11315,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,5296,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,259247,0.0,0.0
2021-12-09 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,480667,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,501489,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,360062,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,280325,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,260077,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,257234,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,497796,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,1991990,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,3262089,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,345886,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,491973,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,528389,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,535161,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,471052,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,271893,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,181369,0.0,0.0
