TIMESTAMP,BEPE_OPEN_PRICE_USD,BEPE_HIGH_PRICE_USD,BEPE_LOW_PRICE_USD,BEPE_CLOSE_PRICE_USD,BEPE_VOLUME_USD,BEPE_DIVIDENDS_USD,BEPE_STOCK_SPLITS_USD
2024-03-01 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,9.999999747378752e-06,1.4000000192027073e-05,178742,0.0,0.0
2024-03-02 00:00:00+00:00,1.4000000192027073e-05,2.099999983329326e-05,7.999999979801942e-06,2.099999983329326e-05,296790,0.0,0.0
2024-03-03 00:00:00+00:00,2.099999983329326e-05,5.999999848427251e-05,2.099999983329326e-05,5.6000000768108293e-05,1212254,0.0,0.0
2024-03-04 00:00:00+00:00,5.6000000768108293e-05,7.999999797903001e-05,3.5000000934815034e-05,3.5000000934815034e-05,2265035,0.0,0.0
2024-03-05 00:00:00+00:00,3.600000127335079e-05,4.099999932805076e-05,1.8000000636675395e-05,2.499999936844688e-05,698293,0.0,0.0
2024-03-06 00:00:00+00:00,2.499999936844688e-05,4.5000000682193786e-05,2.4000000848900527e-05,3.7000001611886546e-05,567671,0.0,0.0
2024-03-07 00:00:00+00:00,3.7000001611886546e-05,4.999999873689376e-05,3.099999958067201e-05,3.300000025774352e-05,440267,0.0,0.0
2024-03-08 00:00:00+00:00,3.300000025774352e-05,3.7999998312443495e-05,2.8000000384054147e-05,2.9000000722589903e-05,192456,0.0,0.0
2024-03-09 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,1.700000029813964e-05,1.700000029813964e-05,219348,0.0,0.0
2024-03-10 00:00:00+00:00,1.700000029813964e-05,2.8000000384054147e-05,1.700000029813964e-05,2.300000051036477e-05,157664,0.0,0.0
2024-03-11 00:00:00+00:00,2.300000051036477e-05,2.8000000384054147e-05,1.8999999156221747e-05,1.9999999494757503e-05,138696,0.0,0.0
2024-03-12 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.9999999494757503e-05,74598,0.0,0.0
2024-03-13 00:00:00+00:00,1.9999999494757503e-05,2.700000004551839e-05,1.9999999494757503e-05,2.700000004551839e-05,107160,0.0,0.0
2024-03-14 00:00:00+00:00,2.700000004551839e-05,3.5000000934815034e-05,2.2000000171829015e-05,2.4000000848900527e-05,244839,0.0,0.0
2024-03-15 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,1.8999999156221747e-05,1.9999999494757503e-05,1236333,0.0,0.0
2024-03-16 00:00:00+00:00,1.9999999494757503e-05,2.5999999706982635e-05,1.4999999621068127e-05,1.5999999959603883e-05,785926,0.0,0.0
2024-03-17 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.8999999156221747e-05,380329,0.0,0.0
2024-03-18 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.4999999621068127e-05,330399,0.0,0.0
2024-03-19 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.1000000085914508e-05,331099,0.0,0.0
2024-03-20 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,9.999999747378752e-06,9.999999747378752e-06,291638,0.0,0.0
2024-03-21 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,241265,0.0,0.0
2024-03-22 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,1.1000000085914508e-05,254710,0.0,0.0
2024-03-23 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,255624,0.0,0.0
2024-03-24 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,250965,0.0,0.0
2024-03-25 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,295451,0.0,0.0
2024-03-26 00:00:00+00:00,1.1000000085914508e-05,2.2000000171829015e-05,1.1000000085914508e-05,1.700000029813964e-05,374912,0.0,0.0
2024-03-27 00:00:00+00:00,1.700000029813964e-05,2.5999999706982635e-05,1.700000029813964e-05,1.8999999156221747e-05,403451,0.0,0.0
2024-03-28 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,278628,0.0,0.0
2024-03-29 00:00:00+00:00,1.8999999156221747e-05,2.499999936844688e-05,1.8000000636675395e-05,2.499999936844688e-05,341745,0.0,0.0
