TIMESTAMP,BABYCATE33103_OPEN_PRICE_USD,BABYCATE33103_HIGH_PRICE_USD,BABYCATE33103_LOW_PRICE_USD,BABYCATE33103_CLOSE_PRICE_USD,BABYCATE33103_VOLUME_USD,BABYCATE33103_DIVIDENDS_USD,BABYCATE33103_STOCK_SPLITS_USD
2024-09-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,116533,0.0,0.0
2024-09-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,87350,0.0,0.0
2024-09-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,54002,0.0,0.0
2024-09-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,50861,0.0,0.0
2024-09-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,77607,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,254474,0.0,0.0
2024-09-29 00:00:00+00:00,,,,0.0,108814,0.0,0.0
2024-09-30 00:00:00+00:00,,,,0.0,86198,0.0,0.0
2024-10-01 00:00:00+00:00,,,,0.0,57081,0.0,0.0
2024-10-02 00:00:00+00:00,,,,0.0,42922,0.0,0.0
2024-10-03 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,246585,0.0,0.0
2024-10-04 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,3.000000106112566e-06,1456892,0.0,0.0
2024-10-05 00:00:00+00:00,3.000000106112566e-06,1.2000000424450263e-05,3.000000106112566e-06,9.999999747378752e-06,5121847,0.0,0.0
2024-10-06 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,4.999999873689376e-06,7.999999979801942e-06,3764466,0.0,0.0
2024-10-07 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,3.999999989900971e-06,4.999999873689376e-06,1756231,0.0,0.0
2024-10-08 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,1365949,0.0,0.0
2024-10-09 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,922249,0.0,0.0
2024-10-10 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,548132,0.0,0.0
2024-10-11 00:00:00+00:00,4.999999873689376e-06,7.999999979801942e-06,4.999999873689376e-06,7.999999979801942e-06,738022,0.0,0.0
2024-10-12 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,871461,0.0,0.0
2024-10-13 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,553815,0.0,0.0
