TIMESTAMP,FLOKI13074_OPEN_PRICE_USD,FLOKI13074_HIGH_PRICE_USD,FLOKI13074_LOW_PRICE_USD,FLOKI13074_CLOSE_PRICE_USD,FLOKI13074_VOLUME_USD,FLOKI13074_DIVIDENDS_USD,FLOKI13074_STOCK_SPLITS_USD
2021-10-25 00:00:00+00:00,,,,0.0,1542869,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,534028,0.0,0.0
2021-10-27 00:00:00+00:00,,,,0.0,300847,0.0,0.0
2021-10-28 00:00:00+00:00,,,,0.0,1555753,0.0,0.0
2021-10-29 00:00:00+00:00,,,,0.0,3722694,0.0,0.0
2021-10-30 00:00:00+00:00,,,,0.0,3792142,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,2349001,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,1649047,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,1301935,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,708102,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,562649,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,501583,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,452434,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,1011146,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,1132621,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,720406,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,527297,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,326731,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,248654,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,288291,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,226624,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,194451,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,173976,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,121511,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,100396,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,128731,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,112381,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,119885,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,90202,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,77034,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,58995,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,171042,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,238670,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,149694,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,87380,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,64186,0.0,0.0
