TIMESTAMP,GDR_OPEN_PRICE_USD,GDR_HIGH_PRICE_USD,GDR_LOW_PRICE_USD,GDR_CLOSE_PRICE_USD,GDR_VOLUME_USD,GDR_DIVIDENDS_USD,GDR_STOCK_SPLITS_USD
2019-11-28 00:00:00+00:00,2.700000004551839e-05,0.0006249999860301614,2.4000000848900527e-05,0.0004569999873638153,80319,0.0,0.0
2019-11-29 00:00:00+00:00,0.0004569999873638153,0.00056900002527982,0.00019099999917671084,0.0002690000110305846,62035,0.0,0.0
2019-11-30 00:00:00+00:00,0.0002690000110305846,0.0003490000090096146,0.00014000000373926014,0.00016199999663513154,70717,0.0,0.0
2019-12-01 00:00:00+00:00,0.00016199999663513154,0.00020799999765586108,0.0001320000010309741,0.000155999994603917,111676,0.0,0.0
2019-12-02 00:00:00+00:00,0.000155999994603917,0.0001630000042496249,0.00011200000153621659,0.0001320000010309741,41769,0.0,0.0
2019-12-03 00:00:00+00:00,0.0001320000010309741,0.00020199999562464654,0.0001320000010309741,0.00015900000289548188,37049,0.0,0.0
2019-12-04 00:00:00+00:00,0.00015900000289548188,0.00019799999427050352,0.00013099999341648072,0.00015500000154133886,46817,0.0,0.0
2019-12-05 00:00:00+00:00,0.00015500000154133886,0.00017600000137463212,0.00011800000356743112,0.00013499999477062374,55428,0.0,0.0
2019-12-06 00:00:00+00:00,0.00013499999477062374,0.00019200000679120421,0.00012099999730708078,0.0001630000042496249,32382,0.0,0.0
2019-12-07 00:00:00+00:00,0.0001630000042496249,0.00019200000679120421,0.00013000000035390258,0.00014400000509340316,16657,0.0,0.0
2019-12-08 00:00:00+00:00,0.00014400000509340316,0.00016999999934341758,0.0001230000052601099,0.00014099999680183828,31552,0.0,0.0
2019-12-09 00:00:00+00:00,0.00014099999680183828,0.00016500000492669642,0.00011200000153621659,0.00012399999832268804,25879,0.0,0.0
2019-12-10 00:00:00+00:00,0.00012399999832268804,0.000155999994603917,0.00010199999815085903,0.00010900000052060932,62017,0.0,0.0
2019-12-11 00:00:00+00:00,0.00010900000052060932,0.00016999999934341758,0.00010299999848939478,0.00011600000289035961,58994,0.0,0.0
