TIMESTAMP,BABYGROK_OPEN_PRICE_USD,BABYGROK_HIGH_PRICE_USD,BABYGROK_LOW_PRICE_USD,BABYGROK_CLOSE_PRICE_USD,BABYGROK_VOLUME_USD,BABYGROK_DIVIDENDS_USD,BABYGROK_STOCK_SPLITS_USD
2023-11-13 00:00:00+00:00,,,,0.0,1171621,0.0,0.0
2023-11-14 00:00:00+00:00,,,,0.0,626773,0.0,0.0
2023-11-15 00:00:00+00:00,,,,0.0,359211,0.0,0.0
2023-11-16 00:00:00+00:00,,,,0.0,399543,0.0,0.0
2023-11-17 00:00:00+00:00,,,,0.0,252123,0.0,0.0
2023-11-18 00:00:00+00:00,,,,0.0,232220,0.0,0.0
2023-11-19 00:00:00+00:00,,,,0.0,229090,0.0,0.0
2023-11-20 00:00:00+00:00,,,,0.0,238963,0.0,0.0
2023-11-21 00:00:00+00:00,,,,0.0,84903,0.0,0.0
2023-11-22 00:00:00+00:00,,,,0.0,114156,0.0,0.0
2023-11-23 00:00:00+00:00,,,,0.0,94507,0.0,0.0
2023-11-24 00:00:00+00:00,,,,0.0,250963,0.0,0.0
2023-11-25 00:00:00+00:00,,,,0.0,1203441,0.0,0.0
2023-11-26 00:00:00+00:00,,,,0.0,1946467,0.0,0.0
2023-11-27 00:00:00+00:00,,,,0.0,1103979,0.0,0.0
2023-11-28 00:00:00+00:00,,,,0.0,672868,0.0,0.0
2023-11-29 00:00:00+00:00,,,,0.0,515443,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,1096589,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,1780370,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,2344219,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,2163437,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,2765477,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,2674383,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,1795762,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,3658492,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,10277090,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,13600000,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,9846024,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,14096569,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,18030567,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,22210647,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,31070971,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,30163063,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,21312169,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,19630896,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,17595129,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,14363278,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,12526595,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,17731756,0.0,0.0
