TIMESTAMP,SANI_OPEN_PRICE_USD,SANI_HIGH_PRICE_USD,SANI_LOW_PRICE_USD,SANI_CLOSE_PRICE_USD,SANI_VOLUME_USD,SANI_DIVIDENDS_USD,SANI_STOCK_SPLITS_USD
2022-04-25 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,637351,0.0,0.0
2022-04-26 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,551122,0.0,0.0
2022-04-27 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,765469,0.0,0.0
2022-04-28 00:00:00+00:00,6.000000212225132e-06,1.2000000424450263e-05,6.000000212225132e-06,9.000000318337698e-06,1739596,0.0,0.0
2022-04-29 00:00:00+00:00,9.000000318337698e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,1116263,0.0,0.0
2022-04-30 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,6.000000212225132e-06,6.000000212225132e-06,1553389,0.0,0.0
2022-05-01 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,781557,0.0,0.0
2022-05-02 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,695081,0.0,0.0
2022-05-03 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,559205,0.0,0.0
2022-05-04 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,776950,0.0,0.0
2022-05-05 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,305874,0.0,0.0
2022-05-06 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,350372,0.0,0.0
2022-05-07 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,155856,0.0,0.0
2022-05-08 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,258922,0.0,0.0
