TIMESTAMP,ORANGEDIAMOND_OPEN_PRICE_USD,ORANGEDIAMOND_HIGH_PRICE_USD,ORANGEDIAMOND_LOW_PRICE_USD,ORANGEDIAMOND_CLOSE_PRICE_USD,ORANGEDIAMOND_VOLUME_USD,ORANGEDIAMOND_DIVIDENDS_USD,ORANGEDIAMOND_STOCK_SPLITS_USD
2025-04-03 00:00:00+00:00,0.0002479999966453761,0.00041000000783242285,0.0001880000054370612,0.00023400000645779073,428998,0.0,0.0
2025-04-04 00:00:00+00:00,0.00023400000645779073,0.0002390000008745119,5.400000009103678e-05,7.500000356230885e-05,168812,0.0,0.0
2025-04-05 00:00:00+00:00,7.500000356230885e-05,9.000000136438757e-05,5.500000042957254e-05,5.700000110664405e-05,50024,0.0,0.0
2025-04-06 00:00:00+00:00,5.700000110664405e-05,6.800000119255856e-05,4.199999966658652e-05,4.8000001697801054e-05,63052,0.0,0.0
2025-04-07 00:00:00+00:00,4.70000013592653e-05,5.199999941396527e-05,1.8999999156221747e-05,2.099999983329326e-05,34265,0.0,0.0
2025-04-08 00:00:00+00:00,2.099999983329326e-05,2.700000004551839e-05,1.8000000636675395e-05,2.4000000848900527e-05,9269,0.0,0.0
2025-04-09 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.099999983329326e-05,2.4000000848900527e-05,0,0.0,0.0
2025-04-10 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.9999999494757503e-05,1.9999999494757503e-05,3060,0.0,0.0
2025-04-11 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8999999156221747e-05,4557,0.0,0.0
2025-04-12 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.700000029813964e-05,1.8000000636675395e-05,3013,0.0,0.0
2025-04-13 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.8999999156221747e-05,0,0.0,0.0
2025-04-14 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,0,0.0,0.0
2025-04-15 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,0,0.0,0.0
2025-04-16 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4000000192027073e-05,0,0.0,0.0
2025-04-17 00:00:00+00:00,1.4000000192027073e-05,1.700000029813964e-05,1.4000000192027073e-05,1.700000029813964e-05,2205,0.0,0.0
2025-04-18 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.4999999621068127e-05,2264,0.0,0.0
2025-04-19 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,0,0.0,0.0
2025-04-20 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.5999999959603883e-05,0,0.0,0.0
2025-04-21 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,718,0.0,0.0
2025-04-22 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,0,0.0,0.0
2025-04-23 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2025-04-24 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.2999999853491317e-05,1.5999999959603883e-05,0,0.0,0.0
2025-04-25 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,0,0.0,0.0
2025-04-26 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2025-04-27 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2025-04-28 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2025-04-29 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.2999999853491317e-05,1.700000029813964e-05,2179,0.0,0.0
2025-04-30 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,0,0.0,0.0
