,ETH,Lag
SC,0.0001993489760637,30
XEM,0.0025286136364889,27
XWC,0.0041646436210362,25
ZEN,0.0102951294427029,27
DOGE,0.0120376996222602,26
USDT,0.0123928362261484,1
ETC,0.0199648115454352,29
QTUM,0.0247428214935438,26
LSK,0.035243522678459,7
FIRO,0.0426271663065684,13
KMD,0.0442248484302459,6
MONA,0.0448979320322194,29
BTS,0.0581061931698884,7
XRP,0.0671327370576914,30
DGB,0.0821881848357533,30
BTC,0.0824971646717632,28
MAID,0.1024245794561333,18
GNO,0.1167090288557367,20
SYS,0.1172149073120409,16
ARK,0.1190993609893701,10
RLC,0.1585962093818977,16
DCR,0.2314201543324536,17
STEEM,0.2682399475752251,29
ANT,0.4574245998748575,13
VERI,0.4670187924598368,7
CON,0.5243153811535413,5
