TIMESTAMP,TRUMPOPE_OPEN_PRICE_USD,TRUMPOPE_HIGH_PRICE_USD,TRUMPOPE_LOW_PRICE_USD,TRUMPOPE_CLOSE_PRICE_USD,TRUMPOPE_VOLUME_USD,TRUMPOPE_DIVIDENDS_USD,TRUMPOPE_STOCK_SPLITS_USD
2025-05-04 00:00:00+00:00,,,,0.0,812393,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,16747,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,10411,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,3072,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,392,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,1453,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,16296,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,806,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-06-01 00:00:00+00:00,4.4605998446778025e-14,4.4605998446778025e-14,4.28086555190766e-14,4.28086555190766e-14,34,0.0,0.0
