,K,Alpha,Tau,DC,Init,Tol,MSE
0,14,1250,0.25,0,1,1e-05,0.30377139880707044
1,14,1250,0.25,0,1,1e-06,0.30377139880707044
2,14,1250,0.25,0,1,1e-07,0.30377139880707044
3,6,250,0.25,0,0,1e-07,0.3037716220051055
4,6,250,0.25,0,0,1e-06,0.3037716220051055
5,6,250,0.25,0,0,1e-05,0.3037716220051055
6,6,250,0.25,0,2,1e-06,0.3037717653336003
7,6,250,0.25,0,2,1e-07,0.30377194304382477
8,12,1000,0.3,0,1,1e-05,0.3037721731739522
9,12,1000,0.3,0,1,1e-06,0.3037721731739522
10,12,1000,0.3,0,1,1e-07,0.3037721731739522
11,9,500,0.25,0,0,1e-07,0.30377234850277746
12,9,500,0.25,0,0,1e-05,0.30377234850277746
13,9,500,0.25,0,0,1e-06,0.30377234850277746
14,9,500,0.25,0,2,1e-07,0.30377239535583983
15,9,500,0.25,0,2,1e-05,0.3037723978813442
16,9,500,0.3,0,2,1e-06,0.30377260065159245
17,9,500,0.25,1,0,1e-06,0.3037726086217957
18,9,500,0.25,1,0,1e-05,0.3037726086217957
19,9,500,0.25,1,0,1e-07,0.3037726086217957
20,9,500,0.3,0,2,1e-05,0.3037726378542768
21,9,500,0.3,0,2,1e-07,0.30377263984175007
22,9,500,0.3,0,0,1e-05,0.3037726493529141
23,9,500,0.3,0,0,1e-07,0.3037726493529141
24,9,500,0.3,0,0,1e-06,0.3037726493529141
25,9,500,0.25,1,2,1e-05,0.30377269304586757
26,9,500,0.3,1,2,1e-06,0.3037728021387634
27,9,500,0.3,1,2,1e-07,0.3037728276192431
28,9,500,0.3,0,1,1e-07,0.30377283786833087
29,9,500,0.3,0,1,1e-06,0.30377283786833087
30,9,500,0.3,0,1,1e-05,0.30377283786833087
31,9,500,0.3,1,2,1e-05,0.3037728416954085
32,9,500,0.3,1,0,1e-05,0.3037728536929467
33,9,500,0.3,1,0,1e-07,0.3037728536929467
34,9,500,0.3,1,0,1e-06,0.3037728536929467
