TIMESTAMP,BABYFLOKI_OPEN_PRICE_USD,BABYFLOKI_HIGH_PRICE_USD,BABYFLOKI_LOW_PRICE_USD,BABYFLOKI_CLOSE_PRICE_USD,BABYFLOKI_VOLUME_USD,BABYFLOKI_DIVIDENDS_USD,BABYFLOKI_STOCK_SPLITS_USD
2021-09-29 00:00:00+00:00,,,,0.0,1408863,0.0,0.0
2021-09-30 00:00:00+00:00,,,,0.0,1716413,0.0,0.0
2021-10-01 00:00:00+00:00,,,,0.0,853272,0.0,0.0
2021-10-02 00:00:00+00:00,,,,0.0,473215,0.0,0.0
2021-10-03 00:00:00+00:00,,,,0.0,1923433,0.0,0.0
2021-10-04 00:00:00+00:00,,,,0.0,3112570,0.0,0.0
2021-10-05 00:00:00+00:00,,,,0.0,1865366,0.0,0.0
2021-10-06 00:00:00+00:00,,,,0.0,608065,0.0,0.0
2021-10-07 00:00:00+00:00,,,,0.0,721903,0.0,0.0
2021-10-08 00:00:00+00:00,,,,0.0,745505,0.0,0.0
2021-10-09 00:00:00+00:00,,,,0.0,406634,0.0,0.0
2021-10-10 00:00:00+00:00,,,,0.0,238802,0.0,0.0
2021-10-11 00:00:00+00:00,,,,0.0,256339,0.0,0.0
2021-10-12 00:00:00+00:00,,,,0.0,270898,0.0,0.0
2021-10-13 00:00:00+00:00,,,,0.0,231163,0.0,0.0
2021-10-14 00:00:00+00:00,,,,0.0,217722,0.0,0.0
2021-10-15 00:00:00+00:00,,,,0.0,211786,0.0,0.0
2021-10-16 00:00:00+00:00,,,,0.0,162922,0.0,0.0
2021-10-17 00:00:00+00:00,,,,0.0,415848,0.0,0.0
2021-10-18 00:00:00+00:00,,,,0.0,1916480,0.0,0.0
2021-10-19 00:00:00+00:00,,,,0.0,2225097,0.0,0.0
2021-10-20 00:00:00+00:00,,,,0.0,966642,0.0,0.0
2021-10-21 00:00:00+00:00,,,,0.0,416057,0.0,0.0
2021-10-22 00:00:00+00:00,,,,0.0,332156,0.0,0.0
2021-10-23 00:00:00+00:00,,,,0.0,350393,0.0,0.0
2021-10-24 00:00:00+00:00,,,,0.0,269652,0.0,0.0
2021-10-25 00:00:00+00:00,,,,0.0,211433,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,203597,0.0,0.0
2021-10-27 00:00:00+00:00,,,,0.0,397609,0.0,0.0
2021-10-28 00:00:00+00:00,,,,0.0,1163896,0.0,0.0
2021-10-29 00:00:00+00:00,,,,0.0,1412873,0.0,0.0
2021-10-30 00:00:00+00:00,,,,0.0,1422186,0.0,0.0
2021-10-31 00:00:00+00:00,,,,0.0,1285725,0.0,0.0
2021-11-01 00:00:00+00:00,,,,0.0,1376202,0.0,0.0
2021-11-02 00:00:00+00:00,,,,0.0,1535419,0.0,0.0
2021-11-03 00:00:00+00:00,,,,0.0,1125890,0.0,0.0
2021-11-04 00:00:00+00:00,,,,0.0,870070,0.0,0.0
2021-11-05 00:00:00+00:00,,,,0.0,597574,0.0,0.0
2021-11-06 00:00:00+00:00,,,,0.0,547740,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,494983,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,387870,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,289660,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,237282,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,242565,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,170151,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,185480,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,167537,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,118543,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,159334,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,238258,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,255882,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,242787,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,151847,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,104208,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,107994,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,97896,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,50505,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,50194,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,84899,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,62724,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,92235,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,93845,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,54460,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,87233,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,174081,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,159416,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,81840,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,145888,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,149179,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,53370,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,21357,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,37143,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,36532,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,18307,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,14337,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,14365,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,37321,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,60950,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,47684,0.0,0.0
