TIMESTAMP,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD,LTC_CLOSE_PRICE_USD,LTC_FIRST_TRADE_PRICE_USD,LTC_HIGH_TRADE_PRICE_USD,LTC_LOW_TRADE_PRICE_USD,LTC_LAST_TRADE_PRICE_USD,LTC_TOTAL_TRADE_COUNT,LTC_TOTAL_TRADES_BUY,LTC_TOTAL_TRADES_SELL,LTC_VOLUME_USD,LTC_QUOTE_VOLUME,LTC_VOLUME_BUY,LTC_QUOTE_VOLUME_BUY,LTC_VOLUME_SELL,LTC_QUOTE_VOLUME_SELL
2017-12-13 03:00:00,272.0,330.0,269.99,291.11,272.0,330.0,269.99,291.11,2290,904,1386,4851.81497,1426967.7044447,1771.7191,528740.0472197,3080.09587,898227.657225
2017-12-13 15:00:00,291.11,307.89,260.0,288.11,292.0,307.89,260.0,288.11,3009,1471,1538,5741.77275,1646531.939314,2823.30508,812928.5090154,2918.46767,833603.4302986
2017-12-14 03:00:00,288.11,302.72,260.98,260.98,288.11,302.72,260.98,260.98,2548,1060,1488,3946.17095,1118897.5900705,1689.74816,483362.9220125,2256.42279,635534.668058
2017-12-14 15:00:00,260.98,280.0,239.99,250.5,260.1,280.0,239.99,250.5,3601,1557,2044,6744.44488,1783699.9830881,2714.35061,720761.9626709,4030.09427,1062938.0204172
2017-12-15 03:00:00,250.5,302.0,241.0,294.58,250.8,302.0,241.0,294.58,3777,2134,1643,8638.89375,2349706.7320653,5208.71682,1417662.533989,3430.17693,932044.1980763
2017-12-15 15:00:00,294.58,314.21,290.0,296.25,290.2,314.21,290.0,296.25,3602,1985,1617,6668.1381,2012998.9525168,3767.50386,1141569.6249277,2900.63424,871429.3275891
2017-12-16 03:00:00,296.25,305.0,285.0,295.42,296.0,305.0,285.0,295.42,2657,1206,1451,3684.67205,1090853.194829,1610.76935,477828.1094413,2073.9027,613025.0853877
2017-12-16 15:00:00,295.42,327.0,285.01,309.32,295.42,327.0,285.01,309.32,5179,2526,2653,8886.99385,2672604.3302582,4416.80264,1341604.3558159,4470.19121,1330999.9744423
2017-12-17 03:00:00,309.32,328.8,304.0,312.6,309.32,328.8,304.0,312.6,4696,2012,2684,6014.36679,1905306.3621818,2969.97601,942611.705179,3044.39078,962694.6570028
2017-12-17 15:00:00,312.6,320.75,277.0,301.5,312.81,320.75,277.0,301.5,5854,2792,3062,9012.02164,2759810.0868921,4847.06307,1490003.6617975,4164.95857,1269806.4250946
2017-12-18 03:00:00,301.5,325.98,301.22,311.01,301.22,325.98,301.22,311.01,3589,1830,1759,5525.60884,1723293.357025,2950.73889,919361.152589,2574.86995,803932.204436
2017-12-18 15:00:00,311.01,360.96,310.01,347.05,311.01,360.96,310.01,347.05,6478,3207,3271,9742.83482,3276341.6995372,4800.53936,1611283.5386233,4942.29546,1665058.1609139
2017-12-19 03:00:00,347.05,366.96,303.01,318.4,347.05,366.96,303.01,318.4,7738,3596,4142,11533.52804,3926836.6998649,5357.99255,1834265.1014431,6175.53549,2092571.5984218
2017-12-19 15:00:00,318.4,355.59,260.0,329.32,322.3,355.59,260.0,329.32,9428,4662,4766,18927.60585,6023454.6511882,9868.25183,3147733.7352019,9059.35402,2875720.9159863
2017-12-20 03:00:00,329.32,357.0,300.01,314.99,330.01,357.0,300.01,314.99,6760,3467,3293,11856.33447,3833964.4483511,6186.97687,2008610.7790729,5669.3576,1825353.6692782
2017-12-20 15:00:00,314.99,320.71,293.0,308.97,314.99,320.71,293.0,308.97,7084,3511,3573,12677.11798,3896815.9826971,6251.65312,1922373.5701111,6425.46486,1974442.412586
2017-12-21 03:00:00,308.97,325.16,288.0,294.04,310.3,325.16,288.0,294.04,7142,2846,4296,10230.64116,3171685.6390218,3926.38952,1222561.7579348,6304.25164,1949123.881087
2017-12-21 15:00:00,294.04,315.0,261.0,266.91,290.12,315.0,261.0,266.91,9166,4140,5026,19503.11656,5548457.7304004,8040.72806,2305405.0415613,11462.3885,3243052.6888391
2017-12-22 03:00:00,266.91,291.0,177.58,201.0,265.99,291.0,177.58,201.0,16789,7604,9185,43675.79934,9994438.2690047,17769.66403,4073339.7167187,25906.13531,5921098.552286
2017-12-22 15:00:00,201.0,280.03,195.22,264.79,202.01,280.03,195.22,264.79,15828,7380,8448,36208.33182,8781523.1129258,15856.6239,3855135.8143161,20351.70792,4926387.2986097
2017-12-23 03:00:00,264.79,299.14,243.95,287.92,264.79,299.14,243.95,287.92,9247,4704,4543,18789.37508,5050825.9949052,9551.17118,2577213.6317109,9238.2039,2473612.3631943
2017-12-23 15:00:00,287.92,301.52,228.07,231.61,287.0,301.52,228.07,231.61,12160,5598,6562,22929.71688,6109750.61864,9607.28727,2567888.0933911,13322.42961,3541862.5252489
2017-12-24 03:00:00,231.61,268.81,220.03,252.01,231.6,268.81,220.03,252.01,11858,4757,7101,16751.2144,4134695.9068764,6858.66881,1698693.8373233,9892.54559,2436002.0695531
2017-12-24 15:00:00,252.01,270.0,235.0,255.87,252.0,270.0,235.0,255.87,9069,4196,4873,12917.57991,3265191.0740734,5993.65352,1514987.8476494,6923.92639,1750203.226424
2017-12-25 03:00:00,255.87,277.5,251.4,256.41,257.24,277.5,251.4,256.41,8893,4073,4820,15197.65789,4050236.7187492,7124.75134,1900586.6726259,8072.90655,2149650.0461233
2017-12-25 15:00:00,256.41,267.0,255.29,261.36,256.4,267.0,255.29,261.36,5552,2529,3023,6786.60255,1775397.5555285,3258.26373,853243.8931408,3528.33882,922153.6623877
2017-12-26 03:00:00,261.36,276.77,260.06,276.0,261.36,276.77,260.06,276.0,8479,4157,4322,12463.06969,3379597.6760663,7001.38374,1900837.995112,5461.68595,1478759.6809543
2017-12-26 15:00:00,276.0,282.82,270.99,278.27,276.0,282.82,270.99,278.27,8031,3756,4275,10493.28079,2907306.6820832,5545.22497,1538467.8228397,4948.05582,1368838.8592435
2017-12-27 03:00:00,278.27,284.34,265.0,266.12,278.15,284.34,265.0,266.12,8431,3616,4815,11742.94373,3244021.5444843,5589.13572,1548879.7977766,6153.80801,1695141.7467077
2017-12-27 15:00:00,266.12,267.74,230.01,236.9,267.38,267.74,230.01,236.9,10908,4545,6363,16128.76657,4136795.8306139,6906.03712,1783826.9304068,9222.72945,2352968.9002071
