TIMESTAMP,CAIR_OPEN_PRICE_USD,CAIR_HIGH_PRICE_USD,CAIR_LOW_PRICE_USD,CAIR_CLOSE_PRICE_USD,CAIR_VOLUME_USD,CAIR_DIVIDENDS_USD,CAIR_STOCK_SPLITS_USD
2023-12-11 00:00:00+00:00,0.023753000423312187,0.27972298860549927,0.023643000051379204,0.25321799516677856,107576,0.0,0.0
2023-12-12 00:00:00+00:00,0.2496339976787567,0.3822689950466156,0.04384100064635277,0.10042700171470642,147604,0.0,0.0
2023-12-13 00:00:00+00:00,0.10020200163125992,0.10356400161981583,0.014298999682068825,0.05047899857163429,178362,0.0,0.0
2023-12-14 00:00:00+00:00,0.05045999959111214,0.05248799920082092,0.01647000014781952,0.018908999860286713,81654,0.0,0.0
2023-12-15 00:00:00+00:00,0.018911000341176987,0.01891300082206726,0.0007450000266544521,0.001728000002913177,33020,0.0,0.0
2023-12-16 00:00:00+00:00,0.001728000002913177,0.010487000457942486,0.0013520000502467155,0.00494900019839406,212793,0.0,0.0
2023-12-17 00:00:00+00:00,0.004792000167071819,0.0049230000004172325,0.0006830000202171504,0.0010509999701753259,100250,0.0,0.0
2023-12-18 00:00:00+00:00,0.0010499999625608325,0.004695000126957893,0.000674000009894371,0.0038209999911487103,88452,0.0,0.0
2023-12-19 00:00:00+00:00,0.0038209999911487103,0.0038240000139921904,0.0005300000193528831,0.0007120000082068145,110649,0.0,0.0
2023-12-20 00:00:00+00:00,0.0007120000082068145,0.0010969999711960554,0.0002280000044265762,0.0003769999893847853,46924,0.0,0.0
2023-12-21 00:00:00+00:00,0.0003769999893847853,0.0007680000271648169,8.70000003487803e-05,0.00013600000238511711,133308,0.0,0.0
2023-12-22 00:00:00+00:00,0.00013600000238511711,0.0003000000142492354,0.00010800000018207356,0.00023799999326001853,47204,0.0,0.0
2023-12-23 00:00:00+00:00,0.00023799999326001853,0.001158999977633357,0.00018200000340584666,0.0004900000058114529,82763,0.0,0.0
2023-12-24 00:00:00+00:00,0.0004839999892283231,0.0008249999955296516,0.0003760000108741224,0.000547999981790781,375960,0.0,0.0
2023-12-25 00:00:00+00:00,0.0005469999741762877,0.0006849999772384763,0.00018200000340584666,0.00018899999849963933,123936,0.0,0.0
2023-12-26 00:00:00+00:00,0.00018899999849963933,0.0002410000015515834,0.0001230000052601099,0.00013099999341648072,93643,0.0,0.0
2023-12-27 00:00:00+00:00,0.00013899999612476677,0.00048600000445730984,0.00010800000018207356,0.0003209999995306134,104282,0.0,0.0
2023-12-28 00:00:00+00:00,0.0003220000071451068,0.0003389999910723418,8.800000068731606e-05,0.00011700000322889537,148451,0.0,0.0
2023-12-29 00:00:00+00:00,0.00011700000322889537,0.00013499999477062374,8.499999967170879e-05,0.00011200000153621659,58335,0.0,0.0
2023-12-30 00:00:00+00:00,0.00011200000153621659,0.00012700000661425292,9.600000339560211e-05,0.00010599999950500205,10449,0.0,0.0
2023-12-31 00:00:00+00:00,0.00010599999950500205,0.00023799999326001853,9.100000170292333e-05,0.00010299999848939478,81129,0.0,0.0
2024-01-01 00:00:00+00:00,0.00010299999848939478,0.00014699999883305281,5.500000042957254e-05,8.399999933317304e-05,50758,0.0,0.0
2024-01-02 00:00:00+00:00,8.499999967170879e-05,0.00011000000085914508,6.0999998822808266e-05,8.399999933317304e-05,27093,0.0,0.0
2024-01-03 00:00:00+00:00,8.399999933317304e-05,9.40000027185306e-05,1.700000029813964e-05,2.499999936844688e-05,22798,0.0,0.0
2024-01-04 00:00:00+00:00,2.499999936844688e-05,4.8000001697801054e-05,2.4000000848900527e-05,3.600000127335079e-05,5391,0.0,0.0
2024-01-05 00:00:00+00:00,3.600000127335079e-05,8.399999933317304e-05,2.9000000722589903e-05,3.7000001611886546e-05,19228,0.0,0.0
